YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00  65 15.6 18.4  4.40  9.09  7.35 999  988.0   0.0   3.0  -2.6 99.0 99.00
2003 01 01 01  64 15.6 18.0  4.52 10.00  7.51 999  988.1   0.1   3.0  -3.3 99.0 99.00
2003 01 01 02  59 14.9 17.4  4.28 10.00  7.24 999  988.6   0.1   3.0  -3.7 99.0 99.00
2003 01 01 03  57 13.9 16.9  4.50 10.00  7.47 999  989.3   0.0   3.0  -4.7 99.0 99.00
2003 01 01 04  57 11.8 14.0  4.54 10.00  7.39 999  989.7  -0.1   3.0  -5.5 99.0 99.00
2003 01 01 05  63 14.4 16.8  4.27 10.00  7.52 999  990.5  -0.3   3.0  -3.5 99.0 99.00
2003 01 01 06  63 14.2 16.9  3.99 10.00  7.33 999  991.0  -0.3   3.0  -5.2 99.0 99.00
2003 01 01 07  60 14.1 17.2  3.88 10.00  6.92 999  991.6  -0.2   3.1  -6.0 99.0 99.00
2003 01 01 08  57 14.0 18.2  4.13 10.00  7.29 999  992.1  -0.3   3.1  -5.5 99.0 99.00
2003 01 01 09  65 14.7 16.8  3.82  9.09  7.21 999  992.9  -0.2   3.1  -5.9 99.0 99.00
2003 01 01 10  57 13.5 15.9  3.78 10.00  7.06 999  993.5  -0.4   3.1  -5.7 99.0 99.00
2003 01 01 11  61 11.0 14.7  3.92  9.09  7.33 999  994.0  -1.6   3.1  -4.4 99.0 99.00
2003 01 01 12  63 11.5 15.6  3.56  9.09  6.89 999  994.6  -1.6   3.1  -4.5 99.0 99.00
2003 01 01 13  54 13.4 15.4  3.70 10.00  7.04 999  995.2  -1.1   3.1  -6.2 99.0 99.00
2003 01 01 14  65 12.9 16.0  3.44  9.09  6.87 999  995.8  -1.8   3.0  -5.9 99.0 99.00
2003 01 01 15  53 11.5 14.4  3.69  9.09  6.91 999  995.9  -1.1   3.1  -8.0 99.0 99.00
2003 01 01 16  45 12.0 15.2  3.75  8.33  7.04 999  996.0  -1.3   3.1  -7.7 99.0 99.00
