#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 02 50 999 14.9 18.0  4.14  9.09  6.45 999 1016.9   0.6   2.9 999.0 99.0 99.00
2010 01 03 03 50 999 15.9 18.8  4.18  9.09  6.67 999 1017.3   0.4   2.9 999.0 99.0 99.00
2010 01 03 04 50 999 15.8 19.1  3.75 10.00  6.31 999 1017.6   0.1   2.9 999.0 99.0 99.00
2010 01 03 05 50 999 15.7 17.9  4.09 10.00  6.61 999 1017.9  -0.1   2.9 999.0 99.0 99.00
2010 01 03 06 50 999 15.1 18.4  4.37  9.09  6.78 999 1018.0  -0.1   2.9 999.0 99.0 99.00
2010 01 03 07 50 999 16.2 19.5  4.14 10.00  6.72 999 1018.3  -0.4   2.9 999.0 99.0 99.00
2010 01 03 08 50 999 15.5 18.8  4.35 10.00  7.00 999 1018.6  -0.5   2.9 999.0 99.0 99.00
2010 01 03 09 50 999 15.9 18.8  3.90 10.00  6.56 999 1018.7  -0.7   2.9 999.0 99.0 99.00
2010 01 03 10 50 999 16.0 18.4  3.89  9.09  6.71 999 1018.7  -0.8   2.9 999.0 99.0 99.00
2010 01 03 11 50 999 15.2 18.0  3.66 10.00  6.40 999 1018.4  -0.9   2.9 999.0 99.0 99.00
2010 01 03 12 50 999 15.5 19.4  3.93  9.09  6.54 999 1018.1  -1.0   2.8 999.0 99.0 99.00
2010 01 03 13 50 999 15.3 17.9  4.37 10.00  6.71 999 1017.7  -0.8   2.9 999.0 99.0 99.00
2010 01 03 14 50 999 16.2 19.2  4.04  9.09  6.63 999 1017.5  -1.1   2.8 999.0 99.0 99.00
2010 01 03 15 50 999 16.7 21.1  4.38  9.09  6.67 999 1017.3  -0.9   2.8 999.0 99.0 99.00
2010 01 03 16 50 999 17.1 20.6  4.17  9.09  6.70 999 1016.9  -1.1   2.8 999.0 99.0 99.00
2010 01 03 17 50 999 17.9 21.5  4.47 10.00  6.71 999 1016.8  -1.0   2.8 999.0 99.0 99.00
2010 01 03 18 50 999 18.1 22.6  4.87 10.81  7.10 999 1016.4  -0.7   2.8 999.0 99.0 99.00
2010 01 03 19 50 999 18.8 23.0  5.07 10.00  7.09 999 1016.4  -0.8   2.8 999.0 99.0 99.00
2010 01 03 20 50 999 18.5 21.6  4.78 10.81  6.96 999 1016.6  -1.0   2.8 999.0 99.0 99.00
2010 01 03 21 50 999 17.8 22.2  5.44 10.81  7.61 999 1016.2  -1.0   2.8 999.0 99.0 99.00
2010 01 03 22 50 999 17.2 22.1  5.23 10.81  7.34 999 1016.0  -1.1   2.8 999.0 99.0 99.00
2010 01 03 23 50 999 18.2 22.2  5.23 10.81  7.25 999 1015.5  -1.2   2.8 999.0 99.0 99.00
2010 01 04 00 50 999 18.0 22.1  5.11 11.43  7.39 999 1014.7  -1.3   2.8 999.0 99.0 99.00
2010 01 04 01 50 999 18.5 23.6  5.86 10.81  8.03 999 1014.3  -1.2   2.9 999.0 99.0 99.00
2010 01 04 02 50 999 18.7 22.7  5.55 11.43  7.70 999 1014.1  -1.3   2.8 999.0 99.0 99.00
2010 01 04 03 50 999 18.9 23.1  5.61 10.81  7.66 999 1013.9  -1.2   2.8 999.0 99.0 99.00
2010 01 04 04 50 999 18.8 22.8  5.77 10.00  7.65 999 1013.3  -0.8   2.8 999.0 99.0 99.00
2010 01 04 05 50 999 19.9 24.2  5.25 11.43  7.51 999 1012.6  -0.3   2.9 999.0 99.0 99.00
2010 01 04 06 50 999 20.3 26.6  6.24 11.43  7.79 999 1012.2   0.0   2.8 999.0 99.0 99.00
2010 01 04 07 50 999 21.3 25.4  6.15 10.00  7.94 999 1012.2   0.1   2.8 999.0 99.0 99.00
2010 01 04 08 50 999 20.3 25.4  6.28 11.43  8.04 999 1012.0   0.2   2.9 999.0 99.0 99.00
2010 01 04 09 50 999 20.7 25.6  6.24 12.12  8.03 999 1011.7   0.3   2.9 999.0 99.0 99.00
2010 01 04 10 50 999 20.6 24.3  6.77 11.43  8.29 999 1011.0   0.3   2.9 999.0 99.0 99.00
2010 01 04 11 50 999 21.3 25.7  6.59 11.43  8.32 999 1010.2   0.2   2.9 999.0 99.0 99.00
2010 01 04 12 50 999 20.7 24.9  6.33 12.12  8.18 999 1009.6   0.2   2.9 999.0 99.0 99.00
2010 01 04 13 50 999 20.9 25.3  6.99 12.12  8.67 999 1008.9   0.2   2.9 999.0 99.0 99.00
