YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 03 09 999 99.0 99.0  3.70 10.00  7.56 999 1005.4   1.6   2.4 999.0 99.0
1999 01 03 10 999 99.0 99.0  3.80 10.00  7.58 999 1005.4    .9   2.4 999.0 99.0
1999 01 03 11 999 99.0 99.0  3.82 10.00  7.53 999 1005.1   1.3   2.4 999.0 99.0
1999 01 03 12 999 99.0 99.0  3.79  9.09  7.20 999 1004.3   1.2   2.4 999.0 99.0
1999 01 03 13 999 99.0 99.0  3.71 10.00  7.12 999 1003.4   1.7   2.4 999.0 99.0
1999 01 03 14 999 99.0 99.0  4.21 10.00  7.42 999 1002.6   2.0   2.4 999.0 99.0
1999 01 03 15 999 99.0 99.0  4.14 10.00  7.58 999 1001.8   2.1   2.3 999.0 99.0
1999 01 03 16 999 99.0 99.0  3.90  9.09  6.99 999 1001.3   2.0   2.4 999.0 99.0
1999 01 03 17 999 99.0 99.0  4.57 10.00  7.60 999 1000.7   2.2   2.4 999.0 99.0
1999 01 03 18 999 99.0 99.0  4.47 10.00  7.59 999 1000.3   2.2   2.4 999.0 99.0
1999 01 03 19 999 99.0 99.0 99.00 99.00 99.00 999 1000.0   2.2   2.4 999.0 99.0
1999 01 03 20 999 99.0 99.0  5.04 10.00  7.99 999  999.6   2.0   2.4 999.0 99.0
1999 01 03 21 999 99.0 99.0  5.10 11.11  8.22 999  999.3   2.4   2.4 999.0 99.0
1999 01 03 22 999 99.0 99.0  5.57 11.11  8.45 999  999.0   2.4   2.4 999.0 99.0
1999 01 03 23 999 99.0 99.0  6.06 12.50  8.72 999  998.4   2.6   2.3 999.0 99.0
1999 01 04 00 999 99.0 99.0 99.00 99.00 99.00 999  997.7   2.7   2.3 999.0 99.0
1999 01 04 01 999 99.0 99.0  6.17 11.11  8.68 999  997.4   2.8   2.3 999.0 99.0
1999 01 04 02 999 99.0 99.0  6.36 12.50  8.98 999  996.9   2.7   2.3 999.0 99.0
1999 01 04 03 999 99.0 99.0  6.26 11.11  8.81 999  996.8   2.9   2.3 999.0 99.0
1999 01 04 04 999 99.0 99.0  6.10 12.50  8.48 999  996.8   3.1   2.3 999.0 99.0
1999 01 04 05 999 99.0 99.0  6.14 12.50  8.52 999  997.7   2.8   2.2 999.0 99.0
1999 01 04 06 999 99.0 99.0  5.86 12.50  8.86 999  999.0   2.6   2.2 999.0 99.0
1999 01 04 07 999 99.0 99.0  5.60 12.50  8.71 999 1000.3   2.6   2.2 999.0 99.0
1999 01 04 08 999 99.0 99.0  5.93 12.50  9.10 999 1001.5   2.6   2.1 999.0 99.0
1999 01 04 09 999 99.0 99.0  5.11 12.50  8.76 999 1002.4   2.7   2.1 999.0 99.0
1999 01 04 10 999 99.0 99.0  5.04 12.50  8.86 999 1003.7   2.6   2.2 999.0 99.0
1999 01 04 11 999 99.0 99.0  5.47 11.11  9.01 999 1004.4   2.6   2.1 999.0 99.0
1999 01 04 12 999 99.0 99.0  4.42 11.11  8.33 999 1005.0   2.2   2.1 999.0 99.0
1999 01 04 13 999 99.0 99.0 99.00 99.00 99.00 999 1005.5   2.1   2.1 999.0 99.0
1999 01 04 14 999 99.0 99.0  4.25 11.11  8.21 999 1006.0   2.2   2.1 999.0 99.0
1999 01 04 15 999 99.0 99.0  3.92 11.11  7.83 999 1005.8   2.1   2.2 999.0 99.0
1999 01 04 16 999 99.0 99.0  3.72 11.11  7.84 999 1006.4   1.8   2.2 999.0 99.0
1999 01 04 17 999 99.0 99.0  3.79 11.11  8.20 999 1006.3   1.5   2.2 999.0 99.0
1999 01 04 18 999 99.0 99.0  3.21  9.09  7.54 999 1006.7   1.7   2.2 999.0 99.0
1999 01 04 19 999 99.0 99.0  3.60 11.11  8.17 999 1006.4   1.6   2.2 999.0 99.0
1999 01 04 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 04 21 999 99.0 99.0  3.26 10.00  7.71 999 1006.9   2.1   2.2 999.0 99.0
1999 01 04 22 999 99.0 99.0  3.09 10.00  7.59 999 1007.3   2.4   2.2 999.0 99.0
1999 01 04 23 999 99.0 99.0  2.93 10.00  7.52 999 1006.7   2.6   2.2 999.0 99.0
1999 01 05 00 999 99.0 99.0  3.25 10.00  7.53 999 1005.8   2.5   2.2 999.0 99.0
1999 01 05 01 999 99.0 99.0  2.97  9.09  7.11 999 1005.5   2.6   2.2 999.0 99.0
1999 01 05 02 999 99.0 99.0  2.80  9.09  6.62 999 1005.0   3.1   2.2 999.0 99.0
1999 01 05 03 999 99.0 99.0  3.01 10.00  6.68 999 1004.7   2.8   2.2 999.0 99.0
1999 01 05 04 999 99.0 99.0  3.04  9.09  6.27 999 1005.3   2.7   2.2 999.0 99.0
1999 01 05 05 999 99.0 99.0  2.86 10.00  6.15 999 1004.5   2.8   2.2 999.0 99.0
