#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 315  7.2  9.0  2.02  7.69  6.31 999 1000.7 999.0 999.0 999.0 99.0 99.00
2012 01 01 00 50 286  6.6  8.1  2.26  8.33  6.66 999 1000.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 01 50 274  7.6  9.1  2.24  8.33  6.68 999 1000.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 02 50 297  5.7  6.9  2.07  8.33  6.70 999 1000.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 03 50 314  8.3 10.2  1.97  7.69  6.28 999 1000.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 04 50 286  8.5 11.6  1.94  8.33  6.06 999 1000.9 999.0 999.0 999.0 99.0 99.00
2012 01 01 05 50 356 14.7 17.7  2.26  7.69  5.69 999 1000.5 999.0 999.0 999.0 99.0 99.00
2012 01 01 06 50  19 16.8 20.3  4.27  9.09  6.96 999 1001.0 999.0 999.0 999.0 99.0 99.00
2012 01 01 07 50  13 16.7 18.8  4.43  9.09  7.18 999 1001.2 999.0 999.0 999.0 99.0 99.00
2012 01 01 08 50  17 17.7 21.2  4.42 10.00  6.87 999 1001.5 999.0 999.0 999.0 99.0 99.00
2012 01 01 09 50  14 15.7 19.0  4.30 10.81  6.85 999 1002.7 999.0 999.0 999.0 99.0 99.00
2012 01 01 10 50  22 15.5 18.9  3.89  9.09  6.74 999 1003.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 11 50  13 16.0 20.4  3.92 10.00  6.74 999 1003.4 999.0 999.0 999.0 99.0 99.00
2012 01 01 12 50  11 13.2 15.7  3.80  9.09  6.75 999 1004.2 999.0 999.0 999.0 99.0 99.00
2012 01 01 13 50  16 14.3 17.5  4.08 10.00  6.83 999 1004.7 999.0 999.0 999.0 99.0 99.00
2012 01 01 14 50  11 12.2 15.0  3.98 10.00  6.74 999 1005.4 999.0 999.0 999.0 99.0 99.00
2012 01 01 15 50  20 10.5 13.3  3.50  9.09  6.92 999 1005.7 999.0 999.0 999.0 99.0 99.00
2012 01 01 16 50  18 11.2 14.0  3.45 10.81  6.56 999 1006.0 999.0 999.0 999.0 99.0 99.00
2012 01 01 17 50  35 10.2 12.8  3.46  9.09  6.77 999 1006.3 999.0 999.0 999.0 99.0 99.00
2012 01 01 18 50  45  9.5 13.4  3.23 10.00  6.45 999 1006.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 19 50  58  9.8 12.5  2.97  7.69  6.46 999 1007.0 999.0 999.0 999.0 99.0 99.00
2012 01 01 20 50  60  8.5 11.4  3.11 10.00  6.84 999 1007.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 21 50  35 10.0 12.0  3.02 10.00  6.53 999 1007.6 999.0 999.0 999.0 99.0 99.00
2012 01 01 22 50  66  8.2 11.4  3.41 10.00  7.36 999 1007.8 999.0 999.0 999.0 99.0 99.00
2012 01 01 23 50  39  8.9 12.2  2.93 10.81  6.66 999 1007.8 999.0 999.0 999.0 99.0 99.00
2012 01 02 00 50  45  9.7 11.7  2.60 10.00  6.41 999 1007.5 999.0 999.0 999.0 99.0 99.00
2012 01 02 01 50  31 10.7 13.0  2.80 10.00  6.89 999 1007.6 999.0 999.0 999.0 99.0 99.00
2012 01 02 02 50  37  9.0 10.9  2.66 10.00  6.32 999 1008.0 999.0 999.0 999.0 99.0 99.00
