YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
93 01 01 00 999 99.0 99.0 02.40 10.00 07.20 999 1008.7  00.1  02.7 999.0 99.0
93 01 01 01 313 03.9 05.3 02.40 10.00 07.30 999 1008.4  00.1  02.7 999.0 99.0
93 01 01 02 290 05.8 06.8 99.00 99.00 99.00 999 1009.4  00.0  02.7 999.0 99.0
93 01 01 02 308 05.4 06.5 02.40 10.00 07.40 999 1008.3  00.0  02.7 999.0 99.0
93 01 01 03 295 05.9 06.9 02.20 11.10 07.10 999 1008.5  00.2  02.7 999.0 99.0
93 01 01 04 291 05.8 07.7 02.10 10.00 07.20 999 1009.0  00.5  02.7 999.0 99.0
93 01 01 06 268 07.9 10.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
93 01 01 07 285 05.3 06.5 02.00 11.10 06.80 999 1010.7 -00.6  02.7 999.0 99.0
93 01 01 08 316 08.0 10.4 02.10 10.00 06.90 999 1011.2  00.7  02.8 999.0 99.0
93 01 01 09 308 08.0 09.5 02.20 10.00 06.50 999 1012.3  00.4  02.8 999.0 99.0
93 01 01 10 316 07.9 09.8 02.10 10.00 06.30 999 1013.3  00.2  02.8 999.0 99.0
93 01 01 11 306 06.7 08.2 02.20 10.00 06.40 999 1014.4  00.6  02.8 999.0 99.0
93 01 01 12 288 08.0 10.0 02.10 10.00 06.30 999 1015.2  00.5  02.8 999.0 99.0
93 01 01 13 311 07.9 09.8 01.90 10.00 05.50 999 1016.3  00.1  02.8 999.0 99.0
93 01 01 14 302 06.4 08.1 02.00 10.00 05.60 999 1017.1  00.5  02.8 999.0 99.0
93 01 01 15 272 04.5 05.6 01.90 10.00 06.00 999 1017.9  00.0  02.8 999.0 99.0
93 01 01 16 256 05.5 06.8 01.90 09.10 06.00 999 1018.4  00.2  02.7 999.0 99.0
93 01 01 17 249 04.5 05.7 01.80 07.70 06.00 999 1019.0  00.3  02.7 999.0 99.0
93 01 01 18 252 07.9 09.1 01.80 10.00 06.60 999 1019.9  00.0  02.7 999.0 99.0
93 01 01 19 217 06.8 08.7 01.80 09.10 06.30 999 1020.8 -00.7  02.6 999.0 99.0
93 01 01 20 999 99.0 99.0 02.00 09.10 06.70 999 1021.5  00.0  02.6 999.0 99.0
93 01 01 21 240 03.9 04.8 01.80 11.10 06.70 999 1022.3  00.0  02.7 999.0 99.0
93 01 01 22 230 05.6 08.4 01.80 10.00 06.60 999 1022.9 -00.5  02.6 999.0 99.0
93 01 01 23 232 04.0 04.9 01.90 11.10 06.80 999 1023.8  00.6  02.5 999.0 99.0
93 01 02 00 246 05.2 06.8 99.00 99.00 99.00 999 1024.2  00.8  02.5 999.0 99.0
93 01 02 01 246 05.0 06.4 01.80 08.30 06.40 999 1024.7  00.6  02.5 999.0 99.0
93 01 02 02 244 04.1 05.1 01.70 12.50 06.70 999 1025.2  00.6  02.5 999.0 99.0
93 01 02 03 239 03.6 04.4 01.80 11.10 06.80 999 1025.8  00.5  02.5 999.0 99.0
93 01 02 04 247 02.4 03.2 01.70 11.10 06.80 999 1026.4  00.6  02.5 999.0 99.0
93 01 02 05 204 02.5 03.3 01.70 11.10 07.20 999 1026.8  00.7  02.5 999.0 99.0
93 01 02 06 169 02.5 04.0 01.50 11.10 07.00 999 1027.1  00.7  02.4 999.0 99.0
