YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
94 01 01 00 353 05.2 06.7 03.50 10.00 08.00 999 1004.6  00.9  03.2 999.0 99.0
94 01 01 01 999 99.0 99.0 99.00 99.00 99.00 999 1004.6  01.5  03.2 999.0 99.0
94 01 01 02 338 07.4 08.8 03.10 10.00 07.60 999 1005.1  01.3  03.2 999.0 99.0
94 01 01 03 354 07.2 08.5 02.80 11.10 07.50 999 1005.7  01.7  03.2 999.0 99.0
94 01 01 04 346 07.1 08.5 02.70 10.00 07.40 999 1006.3  01.6  03.2 999.0 99.0
94 01 01 05 999 99.0 99.0 02.70 10.00 07.40 999 1006.8  01.1  03.1 999.0 99.0
94 01 01 06 349 07.0 08.3 02.90 10.00 07.80 999 1007.2  01.2  03.1 999.0 99.0
94 01 01 07 344 07.5 09.2 02.40 10.00 07.30 999 1007.5  01.5  03.2 999.0 99.0
94 01 01 08 337 08.2 09.8 02.50 10.00 07.30 999 1007.9  01.3  03.2 999.0 99.0
94 01 01 09 352 08.1 10.4 02.20 10.00 07.10 999 1008.1  01.1  03.2 999.0 99.0
94 01 01 10 338 06.9 09.3 02.30 09.10 07.00 999 1008.4  00.7  03.2 999.0 99.0
94 01 01 11 326 07.5 09.6 02.40 10.00 06.60 999 1009.0  00.9  03.2 999.0 99.0
94 01 01 12 332 07.4 10.3 02.50 09.10 06.60 999 1008.9  00.6  03.2 999.0 99.0
94 01 01 13 319 08.4 10.8 02.30 09.10 06.30 999 1009.9  01.1  03.2 999.0 99.0
94 01 01 14 328 07.8 09.6 02.30 08.30 06.10 999 1010.1  00.8  03.2 999.0 99.0
94 01 01 15 339 07.3 08.4 02.20 10.00 06.10 999 1010.0  01.4  03.2 999.0 99.0
94 01 01 16 336 06.3 07.7 02.10 07.70 06.10 999 1009.9  01.8  03.1 999.0 99.0
94 01 01 17 343 05.4 06.2 02.40 08.30 06.90 999 1009.8  01.4  03.2 999.0 99.0
94 01 01 18 003 05.3 06.5 99.00 99.00 99.00 999 1010.1  01.2  03.2 999.0 99.0
94 01 01 19 011 04.6 05.7 02.30 08.30 06.80 999 1010.3  01.0  03.3 999.0 99.0
94 01 01 20 327 02.7 04.0 02.20 08.30 06.80 999 1010.8  00.5  03.3 999.0 99.0
94 01 01 21 024 01.2 01.7 02.10 07.70 06.60 999 1011.0  00.7  03.3 999.0 99.0
94 01 01 22 064 01.0 01.7 02.10 08.30 06.90 999 1011.6  00.6  03.3 999.0 99.0
94 01 01 23 140 02.0 02.9 02.10 08.30 06.70 999 1011.4  01.2  03.3 999.0 99.0
94 01 02 00 128 02.5 03.6 02.00 07.70 06.80 999 1010.6  00.9  03.2 999.0 99.0
94 01 02 01 158 02.7 04.0 01.90 07.70 06.70 999 1010.4  00.7  03.2 999.0 99.0
94 01 02 02 152 03.9 05.1 01.90 08.30 06.80 999 1010.2  00.9  03.2 999.0 99.0
94 01 02 03 160 05.5 06.9 01.60 08.30 06.40 999 1010.0  00.8  03.2 999.0 99.0
94 01 02 04 152 07.2 08.9 01.70 07.70 06.30 999 1009.5  00.9  03.2 999.0 99.0
94 01 02 05 141 09.0 10.8 01.70 08.30 05.50 999 1008.4  00.5  03.2 999.0 99.0
94 01 02 06 145 09.7 12.2 99.00 99.00 99.00 999 1007.9  00.4  03.2 999.0 99.0
94 01 02 07 145 10.5 12.2 01.70 07.70 04.80 999 1007.6  01.4  03.2 999.0 99.0
94 01 02 08 157 11.1 13.1 01.80 04.30 04.60 999 1007.5  01.4  03.2 999.0 99.0
94 01 02 09 145 12.3 99.0 02.00 04.80 04.60 999 1006.8  00.8  03.2 999.0 99.0
94 01 02 10 149 12.3 15.1 02.10 05.00 04.70 999 1006.3  01.6  03.2 999.0 99.0
94 01 02 11 151 13.1 15.5 02.30 05.60 04.90 999 1005.6  01.9  03.2 999.0 99.0
94 01 02 12 138 13.1 99.0 99.00 99.00 99.00 999 1005.0  01.5  03.2 999.0 99.0
94 01 02 13 137 13.6 16.7 02.90 07.10 05.60 999 1004.1  01.3  03.2 999.0 99.0
94 01 02 14 149 14.6 17.3 02.90 06.70 05.60 999 1004.0  01.8  03.2 999.0 99.0
94 01 02 15 138 14.2 16.9 03.10 07.10 06.00 999 1003.2  01.5  03.3 999.0 99.0
94 01 02 16 138 13.3 16.0 03.50 08.30 06.20 999 1002.6  01.5  03.3 999.0 99.0
94 01 02 17 135 14.2 16.5 03.60 07.70 06.30 999 1001.9  02.0  03.3 999.0 99.0
94 01 02 18 135 13.3 17.3 04.00 10.00 06.70 999 1001.5  02.3  03.3 999.0 99.0
94 01 02 19 135 14.2 17.3 99.00 99.00 99.00 999 1001.3  02.0  03.3 999.0 99.0
94 01 02 20 136 15.4 99.0 99.00 99.00 99.00 999 1000.6  02.6  03.2 999.0 99.0
94 01 02 21 140 13.5 16.8 99.00 99.00 99.00 999 1000.2  02.8 999.0 999.0 99.0
94 01 02 22 131 14.4 18.6 99.00 99.00 99.00 999 0999.9  02.7  03.2 999.0 99.0
94 01 02 23 138 14.4 18.5 99.00 99.00 99.00 999 0999.4  02.5  03.2 999.0 99.0
94 01 03 00 136 13.9 16.8 99.00 99.00 99.00 999 0999.0  02.4  03.2 999.0 99.0
94 01 03 01 999 99.0 99.0 99.00 99.00 99.00 999 0998.5  02.4 999.0 999.0 99.0
94 01 03 02 138 12.9 15.7 05.80 12.50 08.20 999 0998.0  03.1  03.2 999.0 99.0
94 01 03 03 136 13.5 16.2 99.00 99.00 99.00 999 0997.8  03.2  03.2 999.0 99.0
94 01 03 04 136 13.3 15.5 99.00 99.00 99.00 999 0997.7  03.0  03.2 999.0 99.0
94 01 03 05 138 13.6 15.7 05.60 14.30 08.50 999 0997.4  02.4  03.2 999.0 99.0
94 01 03 06 138 13.1 14.8 05.20 12.50 08.30 999 0997.2  02.6  03.2 999.0 99.0
94 01 03 07 999 99.0 99.0 05.00 12.50 08.10 999 0997.2  02.6  03.2 999.0 99.0
94 01 03 08 229 07.8 10.1 04.70 09.10 08.00 999 0997.7  01.6  03.2 999.0 99.0
94 01 03 09 999 99.0 99.0 04.30 10.00 08.30 999 0998.5  00.9  03.2 999.0 99.0
94 01 03 10 276 09.7 11.9 04.10 14.30 08.00 999 0999.2  01.3  03.2 999.0 99.0
94 01 03 11 278 08.8 11.1 03.70 14.30 07.90 999 1000.0  01.6  03.2 999.0 99.0
94 01 03 12 999 99.0 99.0 04.20 14.30 08.70 999 1000.5  02.0  03.2 999.0 99.0
94 01 03 13 266 09.7 11.4 03.90 14.30 08.70 999 1000.7  02.2  03.2 999.0 99.0
94 01 03 14 276 09.0 10.4 03.80 14.30 08.40 999 1001.2  02.1  03.2 999.0 99.0
94 01 03 15 270 08.6 10.4 03.40 14.30 08.20 999 1001.7  02.0  03.2 999.0 99.0
94 01 03 16 277 08.6 10.1 03.80 12.50 08.60 999 1001.7  02.0  03.2 999.0 99.0
94 01 03 17 271 08.7 10.9 03.90 14.30 09.10 999 1001.7  01.5  03.2 999.0 99.0
94 01 03 18 270 08.2 09.9 03.70 14.30 08.90 999 1001.9  01.4  03.2 999.0 99.0
94 01 03 19 270 07.2 08.6 03.60 14.30 08.30 999 1002.3  01.1  03.2 999.0 99.0
94 01 03 20 273 06.8 08.8 04.10 14.30 09.30 999 1002.7  01.3  03.2 999.0 99.0
94 01 03 21 269 06.4 07.8 03.90 14.30 09.30 999 1003.0  01.3  03.2 999.0 99.0
94 01 03 22 262 05.9 07.1 04.00 14.30 09.50 999 1003.1  01.4  03.2 999.0 99.0
94 01 03 23 255 06.5 08.1 03.70 14.30 09.10 999 1003.1  01.3  03.2 999.0 99.0
94 01 04 00 256 05.6 07.1 03.50 14.30 09.30 999 1003.2  01.3  03.2 999.0 99.0
94 01 04 01 245 07.0 08.8 03.50 14.30 08.90 999 1003.1  00.9  03.3 999.0 99.0
94 01 04 02 253 06.6 08.4 04.20 14.30 09.80 999 1003.2  01.0  03.3 999.0 99.0
94 01 04 03 244 06.4 07.6 03.60 14.30 09.50 999 1003.5  00.7  03.2 999.0 99.0
94 01 04 04 277 05.6 06.9 04.00 14.30 09.90 999 1003.8  00.5  03.2 999.0 99.0
94 01 04 05 239 04.3 06.0 03.70 14.30 10.00 999 1004.0  00.2  03.2 999.0 99.0
94 01 04 06 261 06.0 07.8 03.90 14.30 09.90 999 1004.1  00.6  03.2 999.0 99.0
94 01 04 07 253 07.6 10.0 03.70 14.30 09.40 999 1004.3  00.7  03.2 999.0 99.0
94 01 04 08 270 07.0 08.8 03.20 12.50 08.40 999 1004.6  00.2  03.2 999.0 99.0
94 01 04 09 264 06.9 08.5 02.80 14.30 07.90 999 1004.8  00.7  03.2 999.0 99.0
94 01 04 10 294 08.4 09.6 03.10 14.30 08.10 999 1005.2  00.4  03.3 999.0 99.0
94 01 04 11 285 05.7 07.2 03.10 12.50 08.50 999 1006.0  00.3  03.3 999.0 99.0
94 01 04 12 319 07.6 09.0 03.50 14.30 09.00 999 1006.2  00.5  03.3 999.0 99.0
94 01 04 13 305 08.2 11.9 03.10 14.30 08.50 999 1006.7  01.3  03.3 999.0 99.0
94 01 04 14 311 08.7 10.4 02.90 14.30 07.90 999 1007.3  00.5  03.3 999.0 99.0
94 01 04 15 308 09.2 11.1 02.70 12.50 07.00 999 1007.9  00.2  03.3 999.0 99.0
94 01 04 16 307 08.9 99.0 03.00 14.30 07.70 999 1008.5  00.5  03.3 999.0 99.0
94 01 04 17 297 07.5 09.7 02.60 12.50 07.00 999 1009.1  00.2  03.3 999.0 99.0
94 01 04 18 999 99.0 99.0 02.70 12.50 07.50 999 1009.7  00.2  03.3 999.0 99.0
94 01 04 19 285 07.4 10.1 99.00 99.00 99.00 999 1010.4 -00.2  03.2 999.0 99.0
94 01 04 20 285 06.4 08.1 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
94 01 04 21 281 06.0 07.9 02.80 12.50 08.00 999 1011.9  00.0  03.2 999.0 99.0
94 01 04 22 284 06.3 07.6 99.00 99.00 99.00 999 1012.6  00.2  03.2 999.0 99.0
