#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 999 99.0 99.0  4.48 10.00  7.42 188 1006.3   3.9   4.3 999.0 99.0 99.00
2015 01 01 00 50 999 99.0 99.0  4.35 10.81  7.44 187 1005.6   3.9   4.3 999.0 99.0 99.00
2015 01 01 01 50 999 99.0 99.0  4.80 10.81  7.84 194 1005.1   4.0   4.3 999.0 99.0 99.00
2015 01 01 02 50 999 99.0 99.0  5.18 10.81  8.31 194 1005.1   4.0   4.3 999.0 99.0 99.00
2015 01 01 03 50 999 99.0 99.0  5.45 12.12  8.37 187 1004.9   3.7   4.3 999.0 99.0 99.00
2015 01 01 04 50 999 99.0 99.0  5.48 12.12  8.54 195 1004.7   3.8   4.3 999.0 99.0 99.00
2015 01 01 05 50 999 99.0 99.0  5.39 12.90  8.49 191 1004.7   3.8   4.3 999.0 99.0 99.00
2015 01 01 06 50 999 99.0 99.0  5.42 12.90  8.77 192 1004.6   4.0   4.3 999.0 99.0 99.00
2015 01 01 07 50 999 99.0 99.0  4.97 12.90  8.78 191 1004.3   3.8   4.3 999.0 99.0 99.00
2015 01 01 08 50 999 99.0 99.0  5.76 16.00  9.40 217 1004.1   3.8   4.3 999.0 99.0 99.00
2015 01 01 09 50 999 99.0 99.0  4.97 16.00  8.88 215 1004.3   3.9   4.3 999.0 99.0 99.00
2015 01 01 10 50 999 99.0 99.0  5.17 14.81  9.11 235 1005.4   3.1   4.3 999.0 99.0 99.00
2015 01 01 11 50 999 99.0 99.0  4.94 14.81  9.21 217 1006.7   3.4   4.3 999.0 99.0 99.00
2015 01 01 12 50 999 99.0 99.0  4.58 16.00  9.36 228 1007.1   3.7   4.3 999.0 99.0 99.00
2015 01 01 13 50 999 99.0 99.0  4.49 14.81  9.16 224 1007.9   3.8   4.2 999.0 99.0 99.00
2015 01 01 14 50 999 99.0 99.0  4.70 13.79  9.31 225 1008.8   3.9   4.3 999.0 99.0 99.00
2015 01 01 15 50 999 99.0 99.0  4.57 10.00  8.96 154 1009.4   3.3   4.3 999.0 99.0 99.00
2015 01 01 16 50 999 99.0 99.0  4.47 13.79  9.23 212 1010.2   3.6   4.3 999.0 99.0 99.00
2015 01 01 17 50 999 99.0 99.0  4.04 12.90  8.70 212 1010.8   3.8   4.3 999.0 99.0 99.00
2015 01 01 18 50 999 99.0 99.0  4.02 14.81  8.60 230 1011.6   3.6   4.3 999.0 99.0 99.00
2015 01 01 19 50 999 99.0 99.0  4.17 13.79  8.52 226 1012.4   3.7   4.3 999.0 99.0 99.00
2015 01 01 20 50 999 99.0 99.0  3.74 13.79  8.24 211 1013.2   3.6   4.3 999.0 99.0 99.00
2015 01 01 21 50 999 99.0 99.0  3.44 13.79  8.19 210 1013.7   3.8   4.3 999.0 99.0 99.00
2015 01 01 22 50 999 99.0 99.0  3.72 14.81  8.60 222 1013.8   3.8   4.3 999.0 99.0 99.00
2015 01 01 23 50 999 99.0 99.0  3.35 13.79  8.26 213 1013.6   3.6   4.3 999.0 99.0 99.00
2015 01 02 00 50 999 99.0 99.0  3.34 13.79  8.71 214 1013.5   3.7   4.2 999.0 99.0 99.00
2015 01 02 01 50 999 99.0 99.0  3.50 13.79  9.17 223 1013.8   3.7   4.2 999.0 99.0 99.00
2015 01 02 02 50 999 99.0 99.0  3.49 13.79  9.01 219 1014.1   3.7   4.2 999.0 99.0 99.00
2015 01 02 03 50 999 99.0 99.0  3.47 12.90  9.01 213 1014.0   3.7   4.2 999.0 99.0 99.00
2015 01 02 04 50 999 99.0 99.0  3.80 12.90  9.43 215 1013.7   3.8   4.2 999.0 99.0 99.00
2015 01 02 05 50 999 99.0 99.0  3.82 12.90  8.97 212 1013.5   3.6   4.2 999.0 99.0 99.00
2015 01 02 06 50 999 99.0 99.0  3.77 13.79  8.58 219 1012.3   3.5   4.2 999.0 99.0 99.00
2015 01 02 07 50 999 99.0 99.0  3.58 13.79  8.39 221 1013.2   2.9   4.2 999.0 99.0 99.00
2015 01 02 08 50 999 99.0 99.0  3.49 12.90  7.64 220 1011.5   3.0   4.2 999.0 99.0 99.00
2015 01 02 09 50 999 99.0 99.0  4.24 13.79  8.20 215 1011.0   3.6   4.2 999.0 99.0 99.00
2015 01 02 10 50 999 99.0 99.0  3.52 13.79  7.09 210 1009.8   3.6   4.2 999.0 99.0 99.00
2015 01 02 11 50 999 99.0 99.0  3.64 13.79  7.04 208 1008.8   3.8   4.2 999.0 99.0 99.00
2015 01 02 12 50 999 99.0 99.0  3.11 13.79  6.43 207 1006.5   3.7   4.2 999.0 99.0 99.00
2015 01 02 13 50 999 99.0 99.0  3.76 12.90  6.75 201 1004.9   2.6   4.2 999.0 99.0 99.00
2015 01 02 14 50 999 99.0 99.0  3.88  7.14  6.70 143 1003.3   3.2   4.2 999.0 99.0 99.00
2015 01 02 15 50 999 99.0 99.0  4.33 13.79  7.16 194 1002.0   3.5   4.2 999.0 99.0 99.00
2015 01 02 16 50 999 99.0 99.0  4.91  8.33  7.18 136 1000.4   3.8   4.2 999.0 99.0 99.00
2015 01 02 17 50 999 99.0 99.0  5.19  8.33  7.50 147  999.9   4.0   4.2 999.0 99.0 99.00
2015 01 02 19 50 999 99.0 99.0  5.60  9.09  8.01 160  998.6   5.0   4.2 999.0 99.0 99.00
2015 01 02 20 50 999 99.0 99.0  5.30  8.33  7.68 138  998.8   5.1   4.2 999.0 99.0 99.00
2015 01 02 21 50 999 99.0 99.0  5.77 10.81  8.10 175  998.4   5.3   4.2 999.0 99.0 99.00
2015 01 02 22 50 999 99.0 99.0  6.52 10.00  8.41 157  998.5   5.2   4.2 999.0 99.0 99.00
2015 01 02 23 50 999 99.0 99.0  5.77 12.12  8.08 183  997.6   5.3   4.2 999.0 99.0 99.00
2015 01 03 00 50 999 99.0 99.0  6.01 11.43  8.45 175  996.8   5.3   4.2 999.0 99.0 99.00
2015 01 03 01 50 999 99.0 99.0  6.38 10.81  8.52 172  996.2   5.4   4.2 999.0 99.0 99.00
2015 01 03 02 50 999 99.0 99.0  5.79 11.43  8.39 161  995.6   5.3   4.2 999.0 99.0 99.00
2015 01 03 03 50 999 99.0 99.0  6.49 11.43  8.50 166  994.9   4.7   4.2 999.0 99.0 99.00
2015 01 03 04 50 999 99.0 99.0  6.26 12.12  8.41 163  993.9   5.1   4.2 999.0 99.0 99.00
2015 01 03 05 50 999 99.0 99.0  6.48 12.90  8.55 161  993.2   5.7   4.2 999.0 99.0 99.00
2015 01 03 06 50 999 99.0 99.0  6.22 10.81  8.42 153  992.4   5.9   4.2 999.0 99.0 99.00
