#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 03 02 00  33  1.9  3.1  1.81  7.69  6.13 999 1004.7  -5.0   2.6 999.0 99.0 99.00
2007 01 03 03 00  38  1.7  2.7  1.72  7.69  6.19 999 1004.9  -4.9   2.4 -13.0 99.0 99.00
2007 01 03 04 00 359  4.1  6.2  1.65  7.69  6.15 999 1005.3  -5.0   2.5 -10.9 99.0 99.00
2007 01 03 05 00  17  4.0  5.2  1.84  7.14  6.45 999 1005.2  -4.7   2.5 -12.7 99.0 99.00
2007 01 03 06 00  65  3.5  4.9  1.45  7.14  6.00 999 1005.4  -4.9   2.5 -10.5 99.0 99.00
2007 01 03 07 00  75  0.8  2.6  1.54  7.14  6.27 999 1005.3  -4.9   2.5 -12.6 99.0 99.00
2007 01 03 08 00  93  1.8  5.6  1.39  7.14  6.06 999 1005.2  -4.5   2.5 -13.4 99.0 99.00
2007 01 03 09 00  59  2.4  3.8  1.41  7.69  6.15 999 1005.2  -4.3   2.5 -12.1 99.0 99.00
2007 01 03 10 00 101  1.9  3.4  1.35  7.14  6.14 999 1004.9  -4.2   2.5 -12.9 99.0 99.00
2007 01 03 11 00 160  5.6  7.5  1.36  7.14  6.10 999 1004.6  -4.7   2.5 999.0 99.0 99.00
2007 01 03 12 00 117  7.3  8.7  1.26  6.25  6.01 999 1003.8  -4.5   2.6 -10.7 99.0 99.00
2007 01 03 13 00  98  6.3  7.8  1.20  6.67  5.30 999 1003.1  -4.3   2.6 -11.3 99.0 99.00
2007 01 03 14 00 106  7.6 10.6  1.22  7.14  5.81 999 1002.4  -4.0   2.6 -11.1 99.0 99.00
2007 01 03 15 00 108  6.8  9.0  1.16  6.67  4.71 999 1001.8  -3.8   2.5 -13.3 99.0 99.00
2007 01 03 16 00  91 10.6 12.4  1.17  6.25  4.51 999 1000.5  -4.2   2.5  -8.7 99.0 99.00
2007 01 03 17 00 105 10.3 12.8 99.00 99.00 99.00 999  999.1  -3.9   2.6 999.0 99.0 99.00
2007 01 03 18 00  98  8.4 11.5  1.29  6.67  4.21 999  998.3  -3.8   2.5 -11.6 99.0 99.00
2007 01 03 19 00  98  8.9 11.4  1.22  6.67  4.33 999  997.3  -3.5   2.5 -12.1 99.0 99.00
2007 01 03 20 00  91 10.9 13.8  1.20  6.25  4.36 999  996.6  -3.6   2.5 -11.4 99.0 99.00
2007 01 03 21 00  90 10.3 12.7  1.27  6.25  4.47 999  995.5  -3.8   2.6 999.0 99.0 99.00
2007 01 03 22 00 108  8.6 12.9  1.40  4.35  4.52 999  994.8  -4.3   2.6 999.0 99.0 99.00
2007 01 03 23 00 107 13.0 15.1  1.51  4.76  4.68 999  994.1  -2.7   2.6  -9.7 99.0 99.00
2007 01 04 00 00  91 12.1 15.5  1.75  5.00  4.47 999  992.2  -3.3   2.6  -7.4 99.0 99.00
2007 01 04 01 00  80 15.5 19.4  1.84  5.26  4.56 999  990.8  -3.6   2.6  -4.9 99.0 99.00
2007 01 04 02 00  81 18.2 22.7  2.72  6.67  5.01 999  989.7  -2.9   2.6  -7.7 99.0 99.00
2007 01 04 03 00  76 17.8 21.5  3.46  6.67  5.65 999  989.3  -3.8   2.6  -7.1 99.0 99.00
2007 01 04 04 00  73 18.0 21.7  3.31  7.14  5.71 999  988.9  -3.4   2.6  -6.8 99.0 99.00
2007 01 04 05 00  74 17.0 20.3  3.40  7.69  5.83 999  988.7  -3.7   2.6  -7.3 99.0 99.00
2007 01 04 06 00  78 16.9 99.0  3.40  7.69  5.74 999  988.6  -3.8   2.6  -7.8 99.0 99.00
2007 01 04 07 00  74 16.2 18.8  4.32  8.33  6.59 999  988.6  -4.0   2.6  -7.6 99.0 99.00
2007 01 04 08 00  85 16.6 20.5  3.77  8.33  6.44 999  988.5  -4.0   2.6  -8.0 99.0 99.00
2007 01 04 09 00  69 16.9 20.1  3.69 10.00  6.49 999  989.1  -4.0   2.6  -8.9 99.0 99.00
2007 01 04 10 00  75 16.0 18.4  4.60 10.00  7.30 999  989.2  -4.1   2.6  -9.6 99.0 99.00
2007 01 04 11 00  69 15.9 19.0  4.67 10.00  7.32 999  989.2  -4.2   2.6  -8.7 99.0 99.00
2007 01 04 12 00  61 16.6 20.4  4.74 10.00  7.68 999  989.4  -4.5   2.6  -8.7 99.0 99.00
2007 01 04 13 00  45 16.4 19.4  5.07 10.00  7.57 999  988.5  -4.5   2.5  -9.6 99.0 99.00
2007 01 04 14 00  42 16.0 19.3  5.35 10.00  7.90 999  989.0  -4.9   2.5  -9.4 99.0 99.00
2007 01 04 15 00  46 14.9 18.4  5.70 14.81  8.06 999  989.7  -4.8   2.6 -10.7 99.0 99.00
2007 01 04 16 00  50 15.2 18.4  5.08 10.81  7.91 999  990.1  -4.9   2.5 -10.8 99.0 99.00
2007 01 04 17 00  40 14.4 17.2 99.00 99.00 99.00 999  990.9  -5.2   2.5 -10.0 99.0 99.00
2007 01 04 18 00  38 14.0 17.1  5.26 10.81  8.35 999  992.3  -5.3   2.5  -8.7 99.0 99.00
2007 01 04 19 00  40 13.4 16.2  4.75 11.43  8.02 999  993.4  -5.2   2.5 -11.6 99.0 99.00
2007 01 04 20 00  42 13.8 17.0  4.73 11.43  8.18 999  994.5  -5.4   2.5 -11.4 99.0 99.00
2007 01 04 21 00  42 12.2 15.3  4.62 10.00  7.99 999  995.3  -5.2   2.5 -11.6 99.0 99.00
2007 01 04 22 00  38 11.3 15.1  4.14 11.43  7.87 999  996.5  -5.2   2.5 -11.1 99.0 99.00
2007 01 04 23 00  29 12.2 15.3  4.24 10.81  7.82 999  997.6  -5.5   2.5 -10.3 99.0 99.00
2007 01 05 00 00  29  9.4 12.4  3.77 10.81  7.45 999  998.1  -5.5   2.5 -10.8 99.0 99.00
2007 01 05 01 00  22 10.4 13.0  3.79  9.09  7.32 999  998.8  -5.8   2.5 -12.2 99.0 99.00
2007 01 05 02 00   4 12.7 14.8  3.41 11.43  7.19 999  999.9  -5.7   2.5  -9.8 99.0 99.00
2007 01 05 03 00  19 10.7 13.4  3.36  9.09  7.01 999 1000.2  -5.6   2.5 -10.9 99.0 99.00
2007 01 05 04 00  30  9.1 11.5  3.43 10.00  7.41 999 1001.5  -5.9   2.5  -9.8 99.0 99.00
2007 01 05 05 00   3  6.5  9.3  3.34 13.79  7.75 999 1002.1  -5.2   2.5 -11.2 99.0 99.00
2007 01 05 06 00   2  6.9  9.1  3.33 14.81  7.71 999 1002.8  -4.8   2.5 -13.7 99.0 99.00
2007 01 05 07 00 358  6.6  9.3  3.04 16.00  7.98 999 1003.4  -4.8   2.5 -11.9 99.0 99.00
2007 01 05 08 00 297  5.3  7.4  2.95 13.79  7.75 999 1003.9  -4.9   2.4 -10.2 99.0 99.00
2007 01 05 09 00 356  6.6 11.3  2.87 12.90  7.88 999 1004.9  -5.9   2.4  -7.6 99.0 99.00
2007 01 05 10 00 310  9.4 14.0  3.18 13.79  7.80 999 1005.6  -5.5   2.4  -7.0 99.0 99.00
2007 01 05 11 00  10 10.2 12.3  2.66  9.09  7.24 999 1006.2  -5.2   2.5  -7.0 99.0 99.00
2007 01 05 12 00 345  8.5 10.4  2.86 10.00  7.18 999 1006.5  -4.3   2.4 -11.9 99.0 99.00
2007 01 05 13 00 352 10.9 13.0  2.79 10.00  6.91 999 1007.2  -4.3   2.4 -11.6 99.0 99.00
2007 01 05 14 00 345 10.3 12.9  2.86 10.00  6.77 999 1008.0  -4.6   2.4 -12.4 99.0 99.00
2007 01 05 15 00 356  9.6 13.2  2.90 13.79  6.81 999 1008.5  -4.7   2.4  -9.6 99.0 99.00
2007 01 05 16 00  10  9.9 13.1  2.73 10.00  6.77 999 1009.1  -4.6   2.5 -10.8 99.0 99.00
2007 01 05 17 00  11  7.9  9.7  2.71 14.81  7.05 999 1009.3  -4.4   2.5 -12.1 99.0 99.00
2007 01 05 18 00   3  7.5 10.0  2.62 13.79  7.35 999 1009.8  -4.1   2.4 -12.1 99.0 99.00
2007 01 05 19 00  13  7.5 10.2  2.43 13.79  7.24 999 1010.2  -3.9   2.4 -11.5 99.0 99.00
2007 01 05 20 00  10  5.7  7.5  2.53 14.81  7.23 999 1010.6  -3.8   2.4 -11.1 99.0 99.00
2007 01 05 21 00  33  6.5  9.3  2.38 13.79  7.46 999 1010.9  -3.7   2.4 -11.7 99.0 99.00
2007 01 05 22 00  26  5.8  8.9  2.52 12.90  7.81 999 1011.4  -3.6   2.4 -11.6 99.0 99.00
2007 01 05 23 00  51  5.2  7.1  2.37 12.12  7.55 999 1011.6  -3.6   2.5 -11.6 99.0 99.00
2007 01 06 00 00  55  4.7  7.4  2.14 12.90  7.54 999 1011.6  -3.4   2.5 -11.7 99.0 99.00
2007 01 06 01 00  29  4.4  6.8  2.19 12.90  7.32 999 1011.4  -3.3   2.5 -11.6 99.0 99.00
2007 01 06 02 00  50  3.9  6.0  2.11 12.90  7.05 999 1011.4  -3.2   2.5 -11.6 99.0 99.00
2007 01 06 03 00  50  4.6  6.0  2.04 12.90  7.26 999 1011.8  -3.2   2.5 -11.3 99.0 99.00
2007 01 06 04 00  38  4.8  6.2  2.01 12.12  7.46 999 1012.1  -3.3   2.5 -10.9 99.0 99.00
2007 01 06 05 00  28  3.2  5.2  1.85 12.12  7.34 999 1012.0  -3.2   2.5 -10.7 99.0 99.00
2007 01 06 06 00   8  2.7  4.3  1.92 12.90  7.26 999 1012.0  -3.1   2.5 -11.1 99.0 99.00
2007 01 06 07 00 341  3.4  5.3  1.82 12.90  7.07 999 1012.5  -2.9   2.5 -10.0 99.0 99.00
2007 01 06 08 00 343  4.0  5.2  1.82 12.90  7.24 999 1012.5  -2.8   2.5  -9.8 99.0 99.00
2007 01 06 09 00 339  6.0  7.5  1.65 11.43  7.15 999 1013.1  -2.5   2.5  -9.1 99.0 99.00
2007 01 06 10 00 336  5.8  7.8  1.57 12.12  7.15 999 1013.4  -2.4   2.5  -8.8 99.0 99.00
2007 01 06 11 00 340  7.7  9.3  1.57 12.12  7.19 999 1013.7  -2.1   2.5  -8.0 99.0 99.00
2007 01 06 12 00 339  8.0 10.1  1.40 10.81  6.55 999 1014.0  -1.8   2.5  -8.3 99.0 99.00
2007 01 06 13 00 330  8.8 10.2  1.42 10.81  6.46 999 1013.8  -1.5   2.5  -7.8 99.0 99.00
2007 01 06 14 00  13 11.3 14.1  1.68 13.79  6.21 999 1014.5  -2.8   2.5 999.0 99.0 99.00
2007 01 06 15 00  31  7.6 10.9  1.62 13.79  5.74 999 1014.4  -2.2   2.5  -4.4 99.0 99.00
2007 01 06 16 00  36  4.0  4.9  1.74 12.90  6.12 999 1014.9  -2.2   2.5  -5.0 99.0 99.00
2007 01 06 17 00   6  7.9 11.1  1.49 12.12  6.01 999 1015.3  -1.7   2.5  -5.5 99.0 99.00
2007 01 06 18 00  24  5.2  6.6  1.52 11.43  6.09 999 1015.6  -1.9   2.5  -5.1 99.0 99.00
2007 01 06 19 00  44  6.0  7.0  1.45 11.43  6.40 999 1016.5  -3.1   2.5 999.0 99.0 99.00
2007 01 06 20 00   6  2.7  4.0  1.29 12.12  6.06 999 1017.2  -2.2   2.5  -4.7 99.0 99.00
2007 01 06 21 00  69  3.6  5.1  1.27 10.81  6.22 999 1017.9  -1.5   2.5  -8.0 99.0 99.00
2007 01 06 22 00  70  2.5  3.6  1.28 11.43  6.27 999 1018.5  -1.4   2.5  -8.5 99.0 99.00
2007 01 06 23 00 127  2.0  3.0  1.17 11.43  6.13 999 1018.9  -1.3   2.4  -9.0 99.0 99.00
2007 01 07 00 00 134  2.3  3.5  1.29 11.43  6.67 999 1019.2  -1.3   2.4  -9.7 99.0 99.00
2007 01 07 01 00 157  1.7  2.5  1.20 10.81  6.68 999 1019.5  -1.3   2.4  -9.8 99.0 99.00
2007 01 07 02 00 148  2.4  3.7  1.19 10.81  6.50 999 1020.0  -1.4   2.4  -9.2 99.0 99.00
2007 01 07 03 00 148  3.9  5.2  1.22 10.81  6.38 999 1020.4  -1.3   2.4  -8.7 99.0 99.00
2007 01 07 04 00 157  5.5  6.6  1.12 11.43  6.47 999 1021.0  -1.2   2.4  -8.5 99.0 99.00
2007 01 07 05 00 161  6.7  8.8  1.12 11.43  6.73 999 1021.3  -1.0   2.4  -8.1 99.0 99.00
2007 01 07 06 00 170  8.4  9.8  1.18 10.81  6.87 999 1021.7  -0.8   2.5  -7.7 99.0 99.00
2007 01 07 07 00 176  9.5 11.9  1.16 10.81  6.31 999 1021.9  -0.7   2.5  -7.1 99.0 99.00
2007 01 07 08 00 172 11.4 13.1  1.27 10.81  5.59 999 1021.8  -0.7   2.5  -6.4 99.0 99.00
2007 01 07 09 00 172 13.5 16.4  1.39 10.81  5.12 999 1021.5  -0.3   2.4  -5.3 99.0 99.00
2007 01 07 10 00 187 13.9 17.9  1.80  5.00  4.81 999 1020.4  -0.1   2.5  -4.9 99.0 99.00
2007 01 07 11 00 202 12.2 17.7  1.95 10.00  4.89 999 1020.4  -0.9   2.5  -2.9 99.0 99.00
2007 01 07 12 00 184 14.3 16.6  2.24  5.26  4.97 999 1019.8  -0.1   2.5  -2.7 99.0 99.00
2007 01 07 13 00 197 16.4 19.6  2.36  6.25  5.25 999 1018.8   0.9   2.5  -4.2 99.0 99.00
2007 01 07 14 00 204 16.2 20.8  2.85  6.67  5.70 999 1019.6  -0.8   2.5  -1.2 99.0 99.00
2007 01 07 15 00 250 12.3 15.3  3.34  7.14  6.34 999 1019.2  -1.3   2.5  -2.5 99.0 99.00
