YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 05 00 248 15.2 20.1  6.74 11.43  8.96 999  989.7  -0.2   2.9  -6.0 99.0 99.00
2005 01 03 06 00 241 18.6 24.5 99.00 99.00 99.00 999  990.4   0.1   2.9  -6.6 99.0 99.00
2005 01 03 07 00 237 16.0 20.1  6.48 10.81  8.69 999  990.9  -0.5   2.9  -5.9 99.0 99.00
2005 01 03 08 00 240 14.3 16.8  6.00 11.43  8.37 999  992.0  -0.1   2.9  -7.1 99.0 99.00
2005 01 03 09 00 231 14.7 17.6  5.69 10.00  8.59 999  992.9  -0.3   2.9  -6.4 99.0 99.00
2005 01 03 10 00 244 12.3 15.2  5.75 14.81  8.75 999  993.0   0.0   2.9  -6.5 99.0 99.00
2005 01 03 11 00 211 13.1 17.5  5.96 11.43  9.09 999  993.9  -1.2   2.9  -5.9 99.0 99.00
2005 01 03 12 00 203 13.0 15.4  6.13 14.81  9.39 999  993.9  -1.0   2.9  -5.2 99.0 99.00
2005 01 03 13 00 222 13.5 16.2  5.41 11.43  8.98 999  994.0  -0.7   2.9  -6.9 99.0 99.00
2005 01 03 14 00 212 13.1 15.6  5.17 13.79  8.90 999  994.5  -1.7   2.9  -4.5 99.0 99.00
2005 01 03 15 00 235 14.3 17.5  5.23 14.81  8.96 999  995.0  -0.8   2.9  -9.1 99.0 99.00
2005 01 03 16 00 232 13.6 16.3  5.09 13.79  8.98 999  995.6  -1.3   2.9  -7.7 99.0 99.00
2005 01 03 17 00 253 12.2 14.7  5.10 12.90  8.89 999  995.7  -1.1   2.9  -7.8 99.0 99.00
2005 01 03 18 00 241 13.9 17.7  4.98 12.12  8.61 999  996.2  -0.9   2.9  -8.7 99.0 99.00
2005 01 03 19 00 261 11.0 13.8  4.71 12.12  8.52 999  996.9  -1.6   2.9  -7.3 99.0 99.00
2005 01 03 20 00 238 14.6 17.3  4.59 11.43  8.15 999  997.8  -1.3   2.9  -8.2 99.0 99.00
2005 01 03 21 00 219 10.2 13.3  4.64 11.43  8.14 999  998.1  -2.0   2.9  -5.7 99.0 99.00
2005 01 03 22 00 248 12.9 14.8  4.32 10.81  8.07 999  999.4  -1.0   2.9  -8.4 99.0 99.00
2005 01 03 23 00 256 13.4 18.1  4.08 12.12  7.64 999  999.9  -1.2   2.9  -6.8 99.0 99.00
2005 01 04 00 00 249 13.3 16.5  4.33 12.90  7.80 999 1000.6  -1.4   2.9  -6.6 99.0 99.00
2005 01 04 01 00 242 12.1 14.7  4.12 13.79  7.64 999 1001.0  -1.2   2.9  -5.9 99.0 99.00
2005 01 04 02 00 265 14.9 19.4  4.19 13.79  7.91 999 1002.4  -1.8   2.9  -4.8 99.0 99.00
2005 01 04 03 00 277  9.8 12.3  4.54 12.12  7.97 999 1002.9  -2.1   2.9  -3.9 99.0 99.00
2005 01 04 04 00 283 14.5 17.1  4.35 10.81  8.16 999 1004.4  -0.9   2.9  -5.9 99.0 99.00
2005 01 04 05 00 254 12.4 16.2  4.32 12.90  7.89 999 1005.5  -1.1   2.8  -6.2 99.0 99.00
2005 01 04 06 00 279 13.4 17.2  4.61 13.79  8.11 999 1006.7  -1.0   2.9  -5.4 99.0 99.00
2005 01 04 07 00 274 14.6 17.5  4.68 12.12  8.09 999 1008.1  -0.8   2.9  -5.9 99.0 99.00
2005 01 04 08 00 278 14.8 18.6  4.74 12.12  7.99 999 1009.3  -0.7   2.9  -6.0 99.0 99.00
2005 01 04 09 00 276 16.5 22.1  4.69 10.81  7.94 999 1010.8  -0.7   2.9  -5.3 99.0 99.00
