YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 01 00  34 18.7 23.1  7.90 12.50  9.16 999 1001.9  -2.0   2.6 999.0 99.0 99.00
2002 01 01 01  36 18.0 21.3  8.92 12.50  9.53 999 1000.7  -2.0   2.6 999.0 99.0 99.00
2002 01 01 02  28 17.5 21.7  7.92 12.50  9.19 999 1000.0  -2.2   2.6 999.0 99.0 99.00
2002 01 01 03  28 17.7 22.2  7.15 12.50  8.82 999  999.3  -2.2   2.6 999.0 99.0 99.00
2002 01 01 04  31 18.3 22.2  7.94 12.50  8.95 999  998.7  -2.2   2.6 999.0 99.0 99.00
2002 01 01 05  29 18.2 21.5 99.00 99.00 99.00 999  998.0  -2.3   2.6 999.0 99.0 99.00
2002 01 01 06  29 17.2 20.9  8.14 12.50  9.19 999  997.5  -2.3   2.6 999.0 99.0 99.00
2002 01 01 07  36 16.6 21.1  7.49 11.11  8.91 999  996.8  -1.8   2.6 999.0 99.0 99.00
2002 01 01 08  33 16.8 20.0  7.11 12.50  8.40 999  996.3  -1.8   2.6 999.0 99.0 99.00
2002 01 01 09  37 16.1 20.5  6.77 12.50  8.43 999  995.9  -1.4   2.6 999.0 99.0 99.00
2002 01 01 10  42 15.4 18.8  6.27 11.11  8.40 999  995.5  -1.9   2.6 999.0 99.0 99.00
2002 01 01 11  40 15.4 20.0  6.59 12.50  8.18 999  995.2  -1.9   2.6 999.0 99.0 99.00
2002 01 01 12  41 15.3 19.0  6.83 12.50  8.61 999  994.6  -1.9   2.6 999.0 99.0 99.00
2002 01 01 13  48 14.2 17.7  6.68 12.50  8.62 999  994.3  -1.7   2.6 999.0 99.0 99.00
2002 01 01 14  46 13.5 17.4  6.48 11.11  8.65 999  994.0  -1.5   2.6 999.0 99.0 99.00
2002 01 01 15  50 11.9 14.9  6.13 11.11  8.30 999  993.8  -1.1   2.6 999.0 99.0 99.00
2002 01 01 16  57 12.3 15.3  5.58 12.50  8.03 999  993.5  -0.7   2.6 999.0 99.0 99.00
2002 01 01 17  51 12.6 16.2  5.27 11.11  7.93 999  993.4  -0.6   2.6 999.0 99.0 99.00
2002 01 01 18  49 12.5 99.0 99.00 99.00 99.00 999 9999.0  -0.4 999.0 999.0 99.0 99.00
2002 01 01 19  48 12.5 14.7  5.15 11.11  7.80 999  993.1  -0.2   2.6 999.0 99.0 99.00
2002 01 01 20  49 13.2 16.4  5.76 11.11  8.06 999  993.5  -0.1   2.6 999.0 99.0 99.00
2002 01 01 21  47 12.7 16.0  4.77 11.11  7.49 999  993.6   0.1   2.6 999.0 99.0 99.00
2002 01 01 22  43 12.0 14.7  5.10 11.11  7.75 999  993.5   0.2   2.6 999.0 99.0 99.00
2002 01 01 23  41 12.1 14.5  5.06 12.50  7.73 999  993.2   0.3   2.6 999.0 99.0 99.00
2002 01 02 00  35 12.1 15.4  4.48 11.11  7.35 999  992.9   0.1   2.6 999.0 99.0 99.00
2002 01 02 01  34 12.4 15.0  4.42 11.11  7.49 999  992.5   0.0   2.6 999.0 99.0 99.00
2002 01 02 02  33 13.0 15.8  4.86 10.00  7.37 999  992.5   0.0   2.6 999.0 99.0 99.00
2002 01 02 03  36 13.4 15.7  4.64 11.11  7.42 999  992.8   0.0   2.6 999.0 99.0 99.00
2002 01 02 04  35 12.6 15.3  4.53 11.11  7.59 999  992.7  -0.3   2.6 999.0 99.0 99.00
2002 01 02 05  34 12.9 15.8  4.69  9.09  7.30 999  992.6  -0.4   2.6 999.0 99.0 99.00
2002 01 02 06  26 13.5 16.9  5.09 11.11  7.55 999  992.5  -0.7   2.6 999.0 99.0 99.00
2002 01 02 07  28 13.2 16.0  4.67 11.11  7.32 999  992.4  -0.6   2.6 999.0 99.0 99.00
2002 01 02 08  32 13.5 17.1  4.94 11.11  7.31 999  992.3  -0.5   2.6 999.0 99.0 99.00
2002 01 02 09  30 14.4 17.3  5.13 11.11  7.54 999  992.3  -0.7   2.6 999.0 99.0 99.00
2002 01 02 10  30 14.2 17.2  5.16 11.11  7.55 999  992.5  -0.7   2.6 999.0 99.0 99.00
2002 01 02 11  35 15.0 20.0  5.17 11.11  7.61 999  992.3  -0.9   2.6 999.0 99.0 99.00
