#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 114  5.3  7.3  1.33  7.14  5.42 999 1026.9  -0.6   2.7 999.0 99.0 99.00
2009 01 01 00 50 107  5.4  6.7  1.29  7.14  5.17 999 1026.6  -0.5   2.7 999.0 99.0 99.00
2009 01 01 01 50 117  6.1  8.2  1.20  6.67  5.13 999 1026.4  -0.5   2.7 999.0 99.0 99.00
2009 01 01 02 50 113  5.5  7.5  1.30  7.14  5.17 999 1026.3  -0.6   2.7 999.0 99.0 99.00
2009 01 01 03 50 110  6.9  8.5  1.27  7.14  5.05 999 1026.2  -0.5   2.7 999.0 99.0 99.00
2009 01 01 04 50 105  6.9  8.6  1.30  7.14  5.06 999 1026.0  -0.5   2.7 999.0 99.0 99.00
2009 01 01 05 50 109  6.6  9.0  1.28  5.56  5.20 999 1025.7  -0.5   2.6 999.0 99.0 99.00
2009 01 01 06 50 103  7.7 10.3  1.27  6.67  5.07 999 1025.4  -0.5   2.5 999.0 99.0 99.00
2009 01 01 07 50 109  7.5  9.7  1.30 12.12  4.91 999 1025.2  -0.5   2.5 999.0 99.0 99.00
2009 01 01 08 50 113  8.7 11.1  1.23 11.43  4.68 999 1024.8  -0.3   2.6 999.0 99.0 99.00
2009 01 01 09 50 107  9.2 11.0  1.35  6.67  4.87 999 1024.5  -0.2   2.6 999.0 99.0 99.00
2009 01 01 10 50 109  9.8 12.1  1.39  4.76  4.74 999 1024.1  -0.2   2.6 999.0 99.0 99.00
2009 01 01 11 50 116  9.4 11.3  1.48  5.00  4.74 999 1024.0  -0.1   2.5 999.0 99.0 99.00
2009 01 01 12 50 107 10.6 12.7  1.52  4.55  4.51 999 1023.2   0.0   2.6 999.0 99.0 99.00
2009 01 01 13 50 104 10.6 13.5  1.53  5.56  4.73 999 1022.8   0.0   2.6 999.0 99.0 99.00
2009 01 01 14 50 104 10.7 13.0  1.61  5.26  4.61 999 1022.7   0.1   2.6 999.0 99.0 99.00
2009 01 01 15 50 107 10.3 12.8  1.69  5.88  4.83 999 1021.8   0.0   2.6 999.0 99.0 99.00
2009 01 01 16 50  94 11.9 14.2  1.77  5.00  4.77 999 1020.9   0.1   2.6 999.0 99.0 99.00
2009 01 01 17 50  89 12.4 14.4  1.93  6.25  4.93 999 1020.2   0.2   2.6 999.0 99.0 99.00
2009 01 01 18 50 100 12.4 15.5  1.99  5.56  5.03 999 1019.8   0.3   2.6 999.0 99.0 99.00
2009 01 01 19 50  93 12.9 99.0 99.00 99.00 99.00 999 9999.0   0.2 999.0 999.0 99.0 99.00
2009 01 01 20 50 101 13.7 17.2  2.16  5.88  5.08 999 1019.3   0.2   2.6 999.0 99.0 99.00
2009 01 01 21 50  98 13.7 16.0  2.32  7.14  5.39 999 1018.8   0.1   2.6 999.0 99.0 99.00
2009 01 01 22 50 107 13.5 16.3  2.48  6.25  5.33 999 1018.3   0.0   2.6 999.0 99.0 99.00
2009 01 01 23 50 100 13.9 16.8  2.79  6.67  5.47 999 1017.3   0.0   2.6 999.0 99.0 99.00
2009 01 02 00 50  99 14.1 17.5  2.87  6.67  5.62 999 1015.7  -0.1   2.7 999.0 99.0 99.00
2009 01 02 01 50 102 16.0 18.7  3.07  7.69  5.86 999 1014.6  -0.1   2.6 999.0 99.0 99.00
2009 01 02 02 50  97 16.4 19.8  3.12  9.09  5.90 999 1013.9  -0.2   2.6 999.0 99.0 99.00
2009 01 02 03 50 100 16.1 19.0  3.46  9.09  5.97 999 1013.1  -0.4   2.6 999.0 99.0 99.00
2009 01 02 04 50  95 16.8 20.4  3.85  8.33  6.48 999 1012.6  -0.2   2.5 999.0 99.0 99.00
2009 01 02 05 50  94 16.9 22.2  3.71  7.14  6.28 999 1011.7  -0.2   2.6 999.0 99.0 99.00
2009 01 02 06 50  90 18.4 21.6  3.98  9.09  6.66 999 1011.4   0.0   2.6 999.0 99.0 99.00
2009 01 02 07 50 100 17.3 20.8  4.06 10.00  6.69 999 1011.0   0.1   2.6 999.0 99.0 99.00
2009 01 02 08 50  92 16.5 19.8  4.31 10.00  6.84 999 1010.2   0.0   2.6 999.0 99.0 99.00
2009 01 02 09 50  96 17.9 21.7  4.59 10.81  7.08 999 1009.7   0.6   2.5 999.0 99.0 99.00
2009 01 02 10 50 104 16.8 20.9  4.67 10.00  7.03 999 1009.0   0.6   2.6 999.0 99.0 99.00
2009 01 02 11 50 100 17.6 21.5  4.73 10.00  7.12 999 1008.2   1.1   2.6 999.0 99.0 99.00
2009 01 02 12 50 101 17.4 21.4  5.42 10.00  7.68 999 1007.9   1.3   2.6 999.0 99.0 99.00
2009 01 02 13 50  98 17.2 20.3  5.90 10.81  7.84 999 1007.6   0.7   2.6 999.0 99.0 99.00
2009 01 02 14 50 100 16.5 20.2  5.47  9.09  7.50 999 1007.4   0.7   2.6 999.0 99.0 99.00
2009 01 02 15 50  91 15.9 18.5  5.18 10.81  7.50 999 1007.1   0.6   2.6 999.0 99.0 99.00
