YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00  14  1.7  2.6   .79 11.11  6.61 999 1010.0    .1   3.2 999.0 99.0
97 01 01 01  30   .7  1.7   .77 11.11  6.32 999 1009.8    .1   3.2 999.0 99.0
97 01 01 02  73  1.9  3.0   .81 12.50  6.79 999 1009.3   -.2   3.2 999.0 99.0
97 01 01 03  89   .3  1.9   .88 11.11  7.38 999 1009.2   -.4   3.2 999.0 99.0
97 01 01 04 102  1.6 99.0 99.00 99.00 99.00 999 9999.0   -.4 999.0 999.0 99.0
97 01 01 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 06  85  1.5  2.7  1.11  9.09  6.69 999 1009.0   -.7   3.2 999.0 99.0
97 01 01 07  85  2.3  2.7  1.26  9.09  6.82 999 1008.5   -.5   3.2 999.0 99.0
97 01 01 08  90  2.7  3.6  1.44  9.09  7.37 999 1008.4   -.4   3.2 999.0 99.0
97 01 01 09 108  2.3  3.1  1.52  8.33  7.16 999 1008.5   -.1   3.2 999.0 99.0
97 01 01 10 142  3.5  4.9  1.46  8.33  7.19 999 1008.4    .1   3.2 999.0 99.0
97 01 01 11 135  3.7  4.6  1.31  9.09  7.24 999 1008.2    .4   3.2 999.0 99.0
97 01 01 12 129  4.4  6.0  1.45  8.33  7.38 999 1007.7    .4   3.2 999.0 99.0
97 01 01 13 143  5.3  6.3  1.49  7.69  7.35 999 1007.6    .9   3.2 999.0 99.0
97 01 01 14 136  4.8  6.9  1.50  7.69  7.27 999 1007.5    .9   3.2 999.0 99.0
97 01 01 15 151  4.2  5.1  1.58  7.69  6.78 999 1007.3    .5   3.2 999.0 99.0
97 01 01 16 126 10.1 12.4  1.63  7.69  5.98 999 1007.0    .5   3.2 999.0 99.0
97 01 01 17 133  9.7 11.9  1.72  7.69  5.97 999 1007.0    .2   3.2 999.0 99.0
97 01 01 18 114 11.6 14.2  1.93  5.88  5.69 999 1006.9   1.3   3.3 999.0 99.0
97 01 01 19 114 11.4 14.3  1.95  5.56  5.73 999 1007.3   1.6   3.5 999.0 99.0
97 01 01 20 110 12.1 14.1  2.02  5.88  5.74 999 1007.6   1.3   3.5 999.0 99.0
97 01 01 21 114 11.5 13.5  1.96  5.88  5.57 999 1007.9   1.3   3.5 999.0 99.0
97 01 01 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 01 23 117 11.2 13.3 99.00 99.00 99.00 999 1008.4   1.3   3.5 999.0 99.0
97 01 02 00 106 12.3 15.3  1.90  5.56  5.63 999 1008.4   1.4   3.5 999.0 99.0
97 01 02 01 105 12.2 14.1  1.96  5.88  5.57 999 1008.4   1.3   3.5 999.0 99.0
97 01 02 02  98 11.5 13.7  2.00  5.88  5.63 999 1008.5   1.2   3.5 999.0 99.0
97 01 02 03  96 11.0 14.1  1.88  5.88  5.64 999 1009.0   1.0   3.4 999.0 99.0
97 01 02 04  92 10.7 99.0 99.00 99.00 99.00 999 1009.2    .8   3.3 999.0 99.0
97 01 02 05  89 12.3 14.4  1.84  5.88  5.45 999 1009.4    .8   3.3 999.0 99.0
97 01 02 06  83 13.2 15.6  1.94  5.88  5.49 999 1009.5    .9   3.3 999.0 99.0
97 01 02 07  75 11.7 14.0  1.89  5.88  5.41 999 1010.0    .6   3.2 999.0 99.0
97 01 02 08  87  9.6 11.5  1.96  5.88  5.74 999 1010.3    .8   3.2 999.0 99.0
97 01 02 09  81  9.0 11.1  1.93  5.88  5.71 999 1010.1    .9   3.2 999.0 99.0
97 01 02 10  77 10.1 12.5  2.09  5.88  5.70 999 1010.5    .4   3.2 999.0 99.0
97 01 02 11  82 10.1 13.2  1.90  5.88  5.77 999 1010.7  -1.0   3.2 999.0 99.0
97 01 02 12  81 11.8 14.0  2.07  5.56  5.80 999 1010.7   -.7   3.2 999.0 99.0
97 01 02 13  75 13.5 16.1  2.02  5.88  5.68 999 1010.6   -.4   3.2 999.0 99.0
97 01 02 14  82 12.2 14.7  2.18  6.25  5.74 999 1010.6    .0   3.2 999.0 99.0
97 01 02 15  74 11.3 13.6  2.31  6.25  5.86 999 1010.6    .1   3.2 999.0 99.0
97 01 02 16  76 10.2 12.3  2.34  6.67  5.86 999 1010.7   -.5   3.2 999.0 99.0
97 01 02 17  77 10.2 12.8  2.18  6.67  5.90 999 1010.8   -.3   3.2 999.0 99.0
97 01 02 18  61 11.3 13.5  2.27  6.67  5.94 999 1010.9   -.4   3.2 999.0 99.0
97 01 02 19  66 10.9 13.8  2.34  6.67  5.89 999 1011.1  -1.2   3.2 999.0 99.0
97 01 02 20  55 10.5 12.7  2.23  6.25  5.89 999 1011.4  -1.5   3.2 999.0 99.0
97 01 02 21  61 12.2 14.3  2.52  8.33  6.11 999 1011.4  -1.2   3.2 999.0 99.0
97 01 02 22  58 10.8 12.9 99.00 99.00 99.00 999 1011.6   -.7   3.2 999.0 99.0
97 01 02 23  58 11.3 13.2  2.35  7.69  6.01 999 1011.6  -1.0   3.2 999.0 99.0
97 01 03 00  79 10.3 12.6 99.00 99.00 99.00 999 1011.5  -2.0   3.2 999.0 99.0
97 01 03 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 02  60 12.9 15.6 99.00 99.00 99.00 999 1010.9  -1.9   3.2 999.0 99.0
97 01 03 03  49 11.9 14.2  2.42  7.14  5.79 999 1011.5  -1.9   3.2 999.0 99.0
97 01 03 04  47 10.6 13.3  2.39  8.33  6.05 999 1011.5  -2.6   3.2 999.0 99.0
97 01 03 05  65 12.1 14.8  2.36  6.25  5.89 999 1011.5  -2.1   3.2 999.0 99.0
97 01 03 06  49 10.4 12.9  2.45  8.33  5.68 999 1011.7  -1.9   3.2 999.0 99.0
97 01 03 07  67 10.1 14.6  2.34  8.33  5.75 999 9999.0  -2.2   3.2 999.0 99.0
97 01 03 08  59 11.7 15.6  2.47  6.67  5.86 999 1012.3  -3.2   3.2 999.0 99.0
97 01 03 09  56 12.8 15.4  2.52  6.67  5.78 999 1012.4  -2.2   3.2 999.0 99.0
97 01 03 10  47 13.2 16.6  2.52  8.33  6.02 999 1012.8  -2.9   3.2 999.0 99.0
97 01 03 11  65 12.5 16.0  2.67  8.33  6.22 999 1013.1  -2.9   3.2 999.0 99.0
97 01 03 12  74 13.2 16.6  2.80  7.69  6.08 999 1013.1  -2.6   3.1 999.0 99.0
97 01 03 13  49 13.1 16.0  2.53  7.69  5.98 999 1013.2  -3.6   3.2 999.0 99.0
97 01 03 14  69 14.1 17.7  2.80  7.14  6.11 999 1013.2  -3.1   3.2 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
