YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
88 01 01 02 200 15.7 19.1 06.20 12.50 08.80 999 0981.8  02.0  02.7 999.0 99.0
88 01 01 03 196 16.9 21.7 06.40 12.50 08.70 999 0982.0  01.7  02.7 999.0 99.0
88 01 01 04 192 16.9 20.5 06.20 12.50 08.90 999 0982.2  02.0  02.7 999.0 99.0
88 01 01 05 199 16.6 20.7 06.40 12.50 08.90 999 0982.2  02.4  02.7 999.0 99.0
88 01 01 06 193 17.9 99.0 06.80 12.50 08.90 999 0982.4  02.4  02.7 999.0 99.0
88 01 01 07 185 18.4 22.7 07.70 12.50 09.20 999 0982.4  02.4  02.7 999.0 99.0
88 01 01 08 190 19.2 24.7 07.80 12.50 09.30 999 0982.4  02.5  02.7 999.0 99.0
88 01 01 09 190 19.2 24.3 08.70 12.50 10.20 999 0982.7  02.4  02.6 999.0 99.0
88 01 01 10 185 20.4 24.9 09.50 16.70 10.70 999 0982.7  02.0  02.5 999.0 99.0
88 01 01 11 185 20.5 26.5 09.80 16.70 10.90 999 0982.5  02.1  02.5 999.0 99.0
88 01 01 12 191 21.9 30.3 99.00 99.00 99.00 999 0982.4  02.4  02.5 999.0 99.0
88 01 01 13 190 19.8 99.0 10.50 16.70 11.20 999 0982.7  02.1  02.5 999.0 99.0
88 01 01 14 188 19.7 24.3 09.70 14.30 10.50 999 0983.0  02.5  02.5 999.0 99.0
88 01 01 15 192 20.6 26.1 10.20 16.70 10.90 999 0983.5  02.3  02.5 999.0 99.0
88 01 01 16 200 19.0 27.9 10.40 16.70 11.20 999 0984.3  01.5  02.5 999.0 99.0
88 01 01 17 200 17.5 21.5 09.40 16.70 11.00 999 0985.5  02.0  02.5 999.0 99.0
88 01 01 18 999 99.0 19.7 09.80 16.70 11.40 999 0986.8  02.1  02.5 999.0 99.0
88 01 01 19 210 15.7 19.2 09.10 14.30 10.90 999 0988.3  01.1  02.5 999.0 99.0
88 01 01 20 218 16.7 20.8 08.60 14.30 10.40 999 0990.0  02.0  02.5 999.0 99.0
88 01 01 21 218 16.4 22.4 09.10 16.70 10.60 999 0991.4  01.8  02.5 999.0 99.0
88 01 01 22 225 15.2 19.8 07.60 14.30 10.10 999 0992.8 -00.1  02.5 999.0 99.0
88 01 01 23 209 15.6 18.5 07.80 14.30 09.90 999 0993.5  01.7  02.5 999.0 99.0
88 01 02 00 218 13.9 17.1 07.70 14.30 10.30 999 0994.5  01.7  02.5 999.0 99.0
88 01 02 01 228 13.4 16.5 06.70 14.30 09.50 999 0995.1  01.7  02.5 999.0 99.0
88 01 02 03 236 12.0 14.8 06.10 12.50 09.20 999 0997.6  00.9  02.5 999.0 99.0
88 01 02 04 233 12.1 14.9 06.20 14.30 09.40 999 0998.8  00.9  02.5 999.0 99.0
88 01 02 05 222 11.0 13.7 06.70 14.30 09.90 999 1000.0  00.5  02.5 999.0 99.0
88 01 02 06 232 11.0 13.0 06.40 12.50 09.50 999 1000.8  00.3  02.5 999.0 99.0
88 01 02 07 230 11.2 14.2 05.70 12.50 09.30 999 1001.6  00.9  02.5 999.0 99.0
88 01 02 08 228 09.8 11.6 05.10 14.30 09.10 999 1002.5  00.9  02.5 999.0 99.0
88 01 02 09 226 07.9 10.3 04.70 14.30 09.10 999 1003.3  00.9  02.5 999.0 99.0
88 01 02 10 176 07.7 11.2 04.90 12.50 09.10 999 1003.7 -00.6  02.5 999.0 99.0
88 01 02 11 185 07.8 09.7 05.30 11.10 09.30 999 1004.3 -00.3  02.5 999.0 99.0
88 01 02 12 194 08.4 10.2 05.30 12.50 09.40 999 1004.5  00.2  02.5 999.0 99.0
88 01 02 13 228 07.1 08.7 04.50 14.30 08.80 999 1004.6  00.0  02.5 999.0 99.0
88 01 02 14 212 10.4 13.3 05.30 12.50 09.40 999 1004.7  00.4  02.5 999.0 99.0
88 01 02 15 209 09.6 12.7 04.60 14.30 09.00 999 1004.8  00.5  02.5 999.0 99.0
88 01 02 17 214 08.8 10.3 04.30 14.30 08.50 999 1004.7  00.4  02.5 999.0 99.0
88 01 02 18 224 12.5 14.4 04.30 14.30 08.80 999 1004.5 -00.5  02.5 999.0 99.0
88 01 02 19 200 08.8 12.5 04.70 14.30 09.10 999 1004.3 -00.1  02.5 999.0 99.0
88 01 02 20 187 07.4 08.9 04.00 14.30 08.90 999 1004.3 -00.2  02.5 999.0 99.0
88 01 02 21 205 09.9 14.0 03.80 12.50 08.70 999 1003.7 -00.2  02.5 999.0 99.0
88 01 02 22 167 10.6 12.7 03.90 14.30 08.60 999 1002.6  00.9  02.5 999.0 99.0
88 01 02 23 160 12.8 15.6 03.90 11.10 08.10 999 1001.1  01.3  02.5 999.0 99.0
88 01 03 00 155 15.2 19.0 03.80 12.50 07.80 999 0999.2  01.3  02.5 999.0 99.0
88 01 03 01 149 15.1 18.5 03.90 12.50 07.50 999 0996.9  01.3  02.5 999.0 99.0
88 01 03 02 142 15.7 19.4 04.30 14.30 07.30 999 0994.8  01.3  02.5 999.0 99.0
88 01 03 03 143 16.9 21.3 04.60 14.30 07.50 999 0992.7  01.5  02.5 999.0 99.0
88 01 03 04 149 17.4 20.8 04.50 12.50 07.10 999 0991.1  01.2  02.5 999.0 99.0
88 01 03 06 161 15.8 19.0 04.90 09.10 07.40 999 0988.9  01.3  02.5 999.0 99.0
88 01 03 07 185 10.8 99.0 04.60 10.00 07.80 999 0989.2  01.6  02.5 999.0 99.0
88 01 03 08 193 08.9 11.3 05.50 10.00 08.50 999 0989.2  01.6  02.5 999.0 99.0
88 01 03 09 217 10.2 13.7 05.20 10.00 08.60 999 0989.3  01.0  02.5 999.0 99.0
88 01 03 10 255 09.6 13.8 05.10 10.00 09.00 999 0989.2  00.7  02.5 999.0 99.0
88 01 03 11 242 07.7 10.0 04.80 10.00 08.60 999 0989.6  01.2  02.5 999.0 99.0
88 01 03 12 254 07.2 08.6 04.90 11.10 08.80 999 0989.3  01.2  02.5 999.0 99.0
88 01 03 13 256 05.9 07.4 04.10 11.10 08.30 999 0989.2  01.1  02.5 999.0 99.0
88 01 03 14 257 04.9 06.7 04.40 11.10 08.60 999 0988.9  00.9  02.5 999.0 99.0
88 01 03 15 251 02.7 04.1 04.10 11.10 08.30 999 0988.5  00.5  02.4 999.0 99.0
88 01 03 16 205 01.7 03.3 04.50 11.10 08.60 999 0988.1  00.4  02.4 999.0 99.0
88 01 03 17 120 00.1 00.5 04.10 10.00 08.40 999 0987.4  00.1  02.4 999.0 99.0
88 01 03 18 090 00.9 02.3 04.30 11.10 08.50 999 0986.6  00.1  02.4 999.0 99.0
88 01 03 19 066 01.8 02.9 04.10 10.00 08.10 999 0985.8  00.4  02.4 999.0 99.0
88 01 03 20 042 02.9 05.1 04.30 11.10 08.60 999 0985.2  00.5  02.4 999.0 99.0
