YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
91 01 01 00 061 14.5 19.3 04.80 10.00 07.90 999 1009.4  00.4  02.5 999.0 99.0
91 01 01 01 062 14.8 17.2 04.80 10.00 07.70 999 1008.5  00.1  02.6 999.0 99.0
91 01 01 02 059 14.4 17.4 05.50 11.10 08.30 999 1007.7  00.1  02.5 999.0 99.0
91 01 01 03 055 14.9 18.0 05.10 10.00 07.80 999 1006.9 -00.3  02.5 999.0 99.0
91 01 01 04 059 14.7 18.3 04.70 11.10 07.90 999 1006.5  00.0  02.5 999.0 99.0
91 01 01 05 057 15.2 18.3 05.50 10.00 08.20 999 1006.1 -00.3  02.5 999.0 99.0
91 01 01 06 056 14.7 17.8 05.40 11.10 08.20 999 1005.9 -00.6  02.5 999.0 99.0
91 01 01 07 056 14.5 17.8 05.20 10.00 08.00 999 1005.6 -00.6  02.5 999.0 99.0
91 01 01 08 057 14.4 18.1 05.70 11.10 08.40 999 1005.3 -00.5  02.5 999.0 99.0
91 01 01 09 056 14.5 16.9 05.20 11.10 08.10 999 1005.1 -00.6  02.5 999.0 99.0
91 01 01 10 057 13.8 18.7 05.10 11.10 08.20 999 1004.7 -00.4  02.5 999.0 99.0
91 01 01 11 055 13.7 16.9 05.30 11.10 08.30 999 1004.1 -00.4  02.5 999.0 99.0
91 01 01 12 059 13.5 15.9 05.30 11.10 08.30 999 1003.9 -00.6  02.5 999.0 99.0
91 01 01 13 060 12.8 15.6 04.80 11.10 07.70 999 1003.3 -00.4  02.5 999.0 99.0
91 01 01 14 062 13.6 16.8 04.90 11.10 08.00 999 1003.1 -00.3  02.5 999.0 99.0
91 01 01 15 066 12.8 16.0 04.50 11.10 07.50 999 1003.1 -00.3  02.5 999.0 99.0
91 01 01 16 061 12.9 15.8 05.00 11.10 08.30 999 1002.5 -00.4  02.5 999.0 99.0
91 01 01 17 058 12.5 14.5 04.90 11.10 07.90 999 1002.5 -00.1  02.5 999.0 99.0
91 01 01 18 064 12.5 16.1 04.60 11.10 07.90 999 1002.6  00.4  02.5 999.0 99.0
91 01 01 19 059 11.7 14.4 04.90 11.10 08.10 999 1002.8  00.8  02.5 999.0 99.0
91 01 01 20 059 11.8 14.3 04.60 11.10 08.00 999 1003.0  00.9  02.5 999.0 99.0
91 01 01 21 058 12.2 14.4 04.60 11.10 07.80 999 1002.9  01.4  02.5 999.0 99.0
91 01 01 22 054 11.8 13.9 04.40 11.10 07.70 999 1003.2  01.6  02.7 999.0 99.0
91 01 01 23 062 11.6 14.8 04.70 11.10 08.00 999 1003.3  02.0  02.5 999.0 99.0
91 01 02 00 057 10.8 12.6 04.80 10.00 08.00 999 1003.0  02.1  02.6 999.0 99.0
91 01 02 01 061 10.7 13.0 04.10 11.10 07.80 999 1002.5  02.3  02.7 999.0 99.0
91 01 02 02 058 10.5 13.6 04.10 10.00 07.70 999 1002.6  02.4  02.7 999.0 99.0
91 01 02 03 056 09.9 11.8 04.30 11.10 07.90 999 1003.0  02.7  02.7 999.0 99.0
91 01 02 04 061 08.9 10.7 04.50 11.10 08.20 999 1003.5  02.8  02.7 999.0 99.0
91 01 02 05 079 08.8 10.5 04.10 11.10 08.00 999 1004.2  02.9  02.7 999.0 99.0
91 01 02 06 071 07.9 09.6 99.00 99.00 99.00 999 1004.9  03.1  02.7 999.0 99.0
91 01 02 07 079 11.4 14.2 04.00 11.10 08.10 999 1005.6  03.2  02.7 999.0 99.0
91 01 02 08 076 11.8 14.8 04.00 11.10 07.90 999 1006.5  03.1  02.7 999.0 99.0
91 01 02 09 075 11.3 14.0 04.10 11.10 08.00 999 1007.2  02.8  02.7 999.0 99.0
91 01 02 10 070 13.0 15.6 03.90 11.10 07.50 999 1007.5  02.5  02.7 999.0 99.0
91 01 02 11 062 12.2 15.6 04.20 11.10 07.70 999 1008.1  02.4  02.7 999.0 99.0
91 01 02 12 066 12.2 15.5 04.00 11.10 07.40 999 1008.7  02.2  02.7 999.0 99.0
91 01 02 13 066 12.5 15.3 03.90 11.10 07.20 999 1009.1  01.9  02.7 999.0 99.0
91 01 02 14 062 11.8 14.3 04.20 10.00 07.40 999 1009.5  02.1  02.7 999.0 99.0
91 01 02 15 066 12.3 15.9 03.80 11.10 07.40 999 1009.7  01.7  02.7 999.0 99.0
91 01 02 16 066 12.2 14.9 04.10 11.10 07.40 999 1009.8  01.7  02.6 999.0 99.0
91 01 02 17 052 11.8 14.3 04.70 10.00 07.90 999 1009.9  01.7  02.5 999.0 99.0
91 01 02 18 042 13.6 16.0 04.80 11.10 08.00 999 1009.8  01.3  02.7 999.0 99.0
91 01 02 19 040 12.5 15.9 04.50 11.10 08.00 999 1010.3  00.5  02.7 999.0 99.0
91 01 02 20 034 12.2 14.3 04.50 11.10 07.90 999 1010.3  00.1  02.7 999.0 99.0
91 01 02 21 042 12.1 14.6 04.80 11.10 07.90 999 1010.3  00.1  02.7 999.0 99.0
91 01 02 22 042 11.5 13.4 04.60 11.10 07.90 999 1010.1 -00.3  02.7 999.0 99.0
91 01 03 00 037 12.1 15.0 04.00 11.10 07.30 999 1009.0  00.0  02.7 999.0 99.0
91 01 03 01 036 11.7 14.8 03.90 10.00 07.30 999 1008.6  00.4  02.7 999.0 99.0
91 01 03 02 035 13.5 16.3 04.50 11.10 07.90 999 1007.8  00.9  02.7 999.0 99.0
91 01 03 03 038 13.6 16.2 04.30 11.10 07.80 999 1007.7  00.8  02.7 999.0 99.0
91 01 03 04 034 13.5 15.8 04.40 10.00 07.70 999 1007.8  00.3  02.7 999.0 99.0
91 01 03 05 032 12.3 15.3 04.70 10.00 07.80 999 1007.7  00.0  02.7 999.0 99.0
91 01 03 06 030 11.5 13.9 04.30 11.10 07.70 999 1007.3  00.0  02.7 999.0 99.0
91 01 03 07 035 10.9 13.7 04.60 11.10 08.10 999 1007.2  00.1  02.7 999.0 99.0
91 01 03 08 032 10.7 12.4 05.10 11.10 08.30 999 1007.0  00.0  02.7 999.0 99.0
91 01 03 09 032 10.5 12.9 04.50 11.10 08.20 999 1006.9  00.0  02.7 999.0 99.0
91 01 03 10 032 09.7 12.1 04.30 11.10 08.00 999 1006.4  00.2  02.7 999.0 99.0
91 01 03 11 039 10.2 13.1 04.40 11.10 08.30 999 1006.1  00.1  02.7 999.0 99.0
91 01 03 12 037 09.1 11.7 04.30 11.10 08.10 999 1005.7  00.2  02.7 999.0 99.0
91 01 03 13 022 09.1 10.8 04.40 10.00 08.20 999 1005.1  00.5  02.7 999.0 99.0
91 01 03 14 027 09.1 10.8 04.20 11.10 08.10 999 1004.8  00.8  02.7 999.0 99.0
91 01 03 15 019 08.0 10.0 04.10 11.10 08.00 999 1004.5  00.8  02.7 999.0 99.0
91 01 03 16 012 08.1 09.5 04.30 11.10 08.20 999 1003.9  01.2  02.7 999.0 99.0
91 01 03 17 012 06.0 07.4 03.90 11.10 08.00 999 1003.8  01.6  02.7 999.0 99.0
91 01 03 18 017 04.6 06.1 03.70 10.00 07.80 999 1003.7  01.9  02.8 999.0 99.0
91 01 03 19 084 04.2 05.8 03.60 09.10 07.70 999 1004.0  02.1  02.8 999.0 99.0
91 01 03 20 106 05.2 06.2 03.80 10.00 08.10 999 1004.8  01.6  02.7 999.0 99.0
91 01 03 21 108 04.8 05.9 03.40 10.00 08.00 999 1005.4  01.7  02.7 999.0 99.0
91 01 03 22 102 04.0 04.8 03.20 11.10 07.90 999 1005.8  02.1  02.7 999.0 99.0
91 01 03 23 105 02.7 03.5 03.00 10.00 07.80 999 1006.0  02.4  02.7 999.0 99.0
91 01 04 00 111 01.1 01.8 02.90 10.00 07.70 999 1006.1  02.5  02.7 999.0 99.0
91 01 04 01 095 05.7 06.8 02.80 10.00 07.60 999 1006.2  02.8  02.7 999.0 99.0
91 01 04 02 088 05.6 06.5 02.50 10.00 07.30 999 1006.3  02.8  02.7 999.0 99.0
91 01 04 03 090 04.9 06.1 02.70 10.00 07.40 999 1006.8  02.8  02.7 999.0 99.0
91 01 04 04 091 04.8 05.8 02.30 09.10 07.20 999 1007.3  02.8  02.7 999.0 99.0
91 01 04 05 093 04.3 05.3 02.30 10.00 07.10 999 1007.9  02.7  02.7 999.0 99.0
91 01 04 06 090 05.2 06.5 02.30 08.30 06.90 999 1008.3  02.5  02.7 999.0 99.0
91 01 04 07 083 05.1 06.0 02.10 08.30 06.90 999 1008.7  02.4  02.7 999.0 99.0
91 01 04 08 091 05.1 06.1 99.00 99.00 99.00 999 1009.2  02.4  02.7 999.0 99.0
91 01 04 09 098 04.0 04.7 02.10 10.00 07.00 999 1009.6  02.4  02.7 999.0 99.0
91 01 04 10 100 04.3 04.9 01.90 08.30 06.80 999 1010.2  02.4  02.8 999.0 99.0
91 01 04 11 100 04.6 05.5 02.10 10.00 06.90 999 1010.5  02.4  02.8 999.0 99.0
91 01 04 12 105 03.7 04.7 02.00 09.10 06.90 999 1011.0  02.4  02.8 999.0 99.0
91 01 04 13 097 04.1 04.9 01.80 08.30 06.60 999 1011.1  02.4  02.8 999.0 99.0
91 01 04 14 090 04.5 05.4 01.80 08.30 06.80 999 1011.3  02.5  02.8 999.0 99.0
91 01 04 15 095 04.2 04.8 01.70 09.10 06.80 999 1011.8  02.7  02.8 999.0 99.0
91 01 04 16 083 04.4 05.1 01.60 09.10 06.70 999 1011.9  02.5  02.8 999.0 99.0
91 01 04 17 061 04.3 05.0 01.70 09.10 06.70 999 1011.8  02.4  02.8 999.0 99.0
91 01 04 18 068 05.4 06.1 01.70 09.10 06.90 999 1012.4  02.4  02.8 999.0 99.0
91 01 04 19 074 04.8 05.7 01.80 08.30 07.00 999 1012.7  02.4  02.8 999.0 99.0
91 01 04 20 073 04.9 05.8 01.80 09.10 06.90 999 1013.3  02.5  02.8 999.0 99.0
91 01 04 21 062 04.6 05.4 01.50 09.10 06.70 999 1014.1  02.5  02.8 999.0 99.0
91 01 04 22 104 05.3 06.0 01.60 08.30 06.80 999 1014.4  02.5  02.7 999.0 99.0
