YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 03 05 148 16.5 20.2  5.71 10.00  8.10 999 1020.6   4.1   3.8   1.6 99.0 99.00
2004 01 03 06 150 16.3 19.9  5.43 10.81  8.03 999 1020.6   4.1   3.8   1.6 99.0 99.00
2004 01 03 07 148 17.6 21.7  5.71 10.81  8.17 999 1020.8   4.1   3.8   1.5 99.0 99.00
2004 01 03 08 151 16.6 20.0  5.95 10.81  8.04 999 1020.7   4.1   3.7   1.6 99.0 99.00
2004 01 03 09 156 16.9 20.0  6.19 10.00  8.39 999 1020.7   4.1   3.7   1.5 99.0 99.00
2004 01 03 10 147 17.1 20.6  5.81 10.81  8.05 999 1021.6   4.0   3.7   1.5 99.0 99.00
2004 01 03 11 151 16.6 20.0  5.80 10.81  8.07 999 1021.6   4.1   3.7   1.6 99.0 99.00
2004 01 03 12 155 15.6 19.5  5.55 10.00  8.00 999 1021.4   4.1   3.7   1.6 99.0 99.00
2004 01 03 13 156 15.7 18.6  5.84 10.00  8.14 999 1021.8   4.1   3.7   1.6 99.0 99.00
2004 01 03 14 157 14.1 17.5  5.30 10.00  8.00 999 1022.2   4.1   3.7   1.9 99.0 99.00
2004 01 03 15 157 13.6 16.1  5.20 12.12  8.29 999 1022.9   4.1   3.7   1.9 99.0 99.00
2004 01 03 16 157 13.1 14.9  5.10 12.12  7.82 999 1023.3   4.2   3.7   2.0 99.0 99.00
2004 01 03 17 154 13.1 15.6  4.88 10.00  7.95 999 1023.6   4.2   3.7   2.2 99.0 99.00
2004 01 03 18 152 12.9 15.6  4.90 12.12  8.19 999 1024.4   4.0   3.7   2.5 99.0 99.00
2004 01 03 19 154 12.8 15.5  4.41 11.43  7.72 999 1025.1   3.9   3.7   2.7 99.0 99.00
2004 01 03 20 156 13.1 15.3  4.61 10.00  7.71 999 1025.7   4.1   3.7   2.8 99.0 99.00
2004 01 03 21 153 11.0 13.3  4.44 10.00  7.73 999 1026.3   4.2   3.7   2.7 99.0 99.00
2004 01 03 22 148 11.3 14.3  4.22 10.00  7.66 999 1027.0   4.2   3.7   2.7 99.0 99.00
2004 01 03 23 154 11.9 14.7  4.19 10.00  7.51 999 1027.2   4.1   3.7   2.6 99.0 99.00
2004 01 04 00 146 11.0 12.8  3.87  9.09  7.34 999 1027.9   4.0   3.7   2.5 99.0 99.00
2004 01 04 01 148  9.3 11.8  3.95 10.00  7.62 999 1027.8   4.0   3.7   2.2 99.0 99.00
2004 01 04 02 138  9.4 11.2  3.63 10.00  7.30 999 1028.1   4.0   3.7   2.2 99.0 99.00
2004 01 04 03 130  9.1 11.5  3.30  9.09  7.39 999 1028.1   4.0   3.7   2.2 99.0 99.00
2004 01 04 04 130  9.1 10.6  3.24 10.00  7.28 999 1028.5   3.9   3.7   2.4 99.0 99.00
2004 01 04 05 118  8.6 10.4  3.44 10.00  7.60 999 1028.2   3.8   3.7   2.3 99.0 99.00
2004 01 04 06 118  8.6 10.6  3.15 10.00  7.32 999 1027.9   3.9   3.7   2.2 99.0 99.00
2004 01 04 07 114 13.7 16.1  3.12 10.81  7.04 999 1027.7   4.0   3.7   1.9 99.0 99.00
2004 01 04 08 115 12.7 15.5  3.21  9.09  6.84 999 1027.8   4.1   3.7   1.8 99.0 99.00
2004 01 04 09 114 11.0 13.2  3.02 10.00  6.44 999 1027.3   4.1   3.7   1.9 99.0 99.00
2004 01 04 10 113 11.3 13.9  3.34 10.81  6.77 999 1027.0   4.1   3.7   1.8 99.0 99.00
2004 01 04 11 123 10.5 13.5  3.05  9.09  6.57 999 1027.2   4.0   3.7   1.8 99.0 99.00
2004 01 04 12 119 10.7 12.8  3.19  9.09  6.85 999 1027.0   4.0   3.6   1.8 99.0 99.00
2004 01 04 13 129 12.1 14.8  2.83 10.00  6.34 999 1026.9   4.3   3.6   1.3 99.0 99.00
2004 01 04 14 118 12.3 14.4  3.02  8.33  6.44 999 1027.3   4.2   3.6   1.6 99.0 99.00
2004 01 04 15 120 12.3 14.4  3.00  7.69  6.40 999 1027.4   4.3   3.6   1.3 99.0 99.00
2004 01 04 16 117 14.0 16.6  2.95  7.14  6.24 999 1027.3   4.3   3.6   1.3 99.0 99.00
2004 01 04 17 119 13.5 15.6  3.26  8.33  6.42 999 1027.4   4.2   3.6   1.2 99.0 99.00
2004 01 04 18 120 12.9 15.3  3.35  7.69  6.57 999 1027.5   4.2   3.6   1.3 99.0 99.00
2004 01 04 19 122 12.4 14.9  3.66  9.09  7.03 999 1028.0   4.2   3.6   1.3 99.0 99.00
2004 01 04 20 116 13.3 15.8  3.40 11.43  6.68 999 1028.0   4.2   3.6   1.1 99.0 99.00
2004 01 04 21 120 14.3 17.4  3.81  9.09  7.02 999 1028.8   4.1   3.7   1.2 99.0 99.00
2004 01 04 22 123 13.1 15.7  4.01  9.09  7.09 999 1028.7   4.0   3.7   1.4 99.0 99.00
2004 01 04 23 130 13.1 16.6  4.09 10.00  7.34 999 1028.7   4.0   3.7   1.0 99.0 99.00
2004 01 05 00 128 14.7 18.3  3.92 10.81  7.12 999 1028.5   4.0   3.7  -0.3 99.0 99.00
2004 01 05 01 134 12.4 16.6  4.34  9.09  7.58 999 1028.3   4.0   3.7   0.4 99.0 99.00
2004 01 05 02 130 12.2 15.5  4.47 10.81  7.79 999 1028.7   4.1   3.7   0.1 99.0 99.00
2004 01 05 03 132 11.2 14.6  4.44 12.12  8.21 999 1029.5   4.1   3.7  -0.2 99.0 99.00
2004 01 05 04 121 11.2 13.8  4.32 12.90  8.13 999 1030.0   4.0   3.7   0.5 99.0 99.00
2004 01 05 05 125 11.8 13.9  4.32 12.90  8.37 999 1030.5   4.0   3.7   0.0 99.0 99.00
2004 01 05 06 122 11.3 13.4  4.18 10.81  8.11 999 1030.6   4.0   3.7  -0.1 99.0 99.00
2004 01 05 07 113 11.3 13.2  4.38 10.81  8.30 999 1030.9   4.0   3.7   0.0 99.0 99.00
2004 01 05 08 118 11.6 14.7  3.81 14.81  7.84 999 1031.2   4.0   3.7   0.0 99.0 99.00
2004 01 05 09 108 11.1 13.8  3.86  9.09  7.77 999 1031.2   3.6   3.7   0.3 99.0 99.00
2004 01 05 10 108 12.0 14.0  3.88 14.81  7.81 999 1031.3   3.7   3.7   0.4 99.0 99.00
2004 01 05 11 111 10.2 12.5  3.67 14.81  7.30 999 1031.7   3.7   3.6   0.3 99.0 99.00
2004 01 05 12 115 10.8 13.4  3.98 16.00  7.88 999 1031.8   3.8   3.6   0.6 99.0 99.00
2004 01 05 13 120 11.7 15.9  3.92 14.81  7.66 999 1031.6   3.8   3.6  -0.1 99.0 99.00
2004 01 05 14 120  8.7 10.6  3.61 12.90  7.74 999 1031.7   3.4   3.6   0.3 99.0 99.00
2004 01 05 15 121 10.8 12.9  3.70 14.81  7.88 999 1032.1   3.1   3.6   0.6 99.0 99.00
2004 01 05 16 113  9.6 12.8  3.82 12.90  7.88 999 1032.3   3.7   3.6  -0.1 99.0 99.00
2004 01 05 17 106  9.8 11.8  3.64 12.12  7.82 999 1032.2   3.4   3.6   0.0 99.0 99.00
2004 01 05 18  99 10.7 13.1  3.67 10.00  8.09 999 1032.1   3.6   3.6  -0.1 99.0 99.00
2004 01 05 19  93 10.3 12.4  3.62 14.81  8.08 999 1031.8   3.3   3.6  -0.2 99.0 99.00
2004 01 05 20  92 10.9 13.8  3.60 14.81  8.01 999 1032.4   3.0   3.6  -0.4 99.0 99.00
2004 01 05 21 103  9.4 11.4  3.33 13.79  7.41 999 1032.2   3.0   3.6  -1.3 99.0 99.00
2004 01 05 22  85 10.6 12.7  3.15 14.81  7.29 999 1032.1   2.8   3.6  -0.9 99.0 99.00
2004 01 05 23  90 10.6 12.4  3.26 13.79  7.19 999 1031.2   2.5   3.6  -0.9 99.0 99.00
2004 01 06 00  81 10.4 12.2  3.37 14.81  7.32 999 1030.5   2.5   3.6  -0.8 99.0 99.00
2004 01 06 01  74  9.0 10.9  3.01 12.90  6.93 999 1029.9   2.7   3.6  -0.6 99.0 99.00
2004 01 06 02  72  9.2 10.5  2.92 12.90  7.25 999 1029.9   3.0   3.6   0.0 99.0 99.00
2004 01 06 03  65 10.1 12.0  2.72 13.79  6.95 999 1029.5   3.0   3.6   0.3 99.0 99.00
2004 01 06 04  66 11.8 14.1  2.53 12.12  6.62 999 1029.3   3.0   3.6   0.2 99.0 99.00
2004 01 06 05  63 12.1 13.7  2.60 14.81  6.61 999 1028.6   3.1   3.6   0.1 99.0 99.00
2004 01 06 06  69 11.8 14.0  2.78 12.12  6.78 999 1028.0   3.1   3.5   0.1 99.0 99.00
2004 01 06 07  71 11.6 13.2  2.68 12.12  6.56 999 1027.5   3.0   3.5   0.2 99.0 99.00
2004 01 06 08  71 12.4 14.6  2.86 10.00  6.48 999 1027.2   3.0   3.5   0.2 99.0 99.00
2004 01 06 09  77 12.5 14.4  2.76  9.09  6.24 999 1026.8   2.9   3.5   0.1 99.0 99.00
2004 01 06 10  77 12.4 14.6  2.74  8.33  6.29 999 1026.4   2.9   3.5   0.0 99.0 99.00
2004 01 06 11  77 13.0 15.5  2.79  7.14  6.08 999 1025.6   3.0   3.5  -0.2 99.0 99.00
2004 01 06 12  88 13.3 15.1  2.91 13.79  6.16 999 1025.7   3.0   3.5  -0.6 99.0 99.00
2004 01 06 13  92 13.7 16.7  2.86 13.79  6.23 999 1024.9   2.9   3.5  -1.2 99.0 99.00
2004 01 06 14  94 13.2 15.5  3.15  7.14  6.24 999 1024.7   3.0   3.5  -1.2 99.0 99.00
2004 01 06 15  90 14.9 17.4  3.24  8.33  6.37 999 1024.4   3.1   3.5  -1.9 99.0 99.00
2004 01 06 16  94 13.6 16.0  3.21  7.69  6.42 999 1024.2   2.9   3.5  -1.5 99.0 99.00
2004 01 06 17  91 15.4 18.0  3.28  9.09  6.36 999 1023.8   3.1   3.5  -2.8 99.0 99.00
2004 01 06 18  88 13.6 15.8  3.61  8.33  6.61 999 1023.8   3.1   3.5  -1.7 99.0 99.00
2004 01 06 19  85 14.1 16.8  3.58  9.09  6.72 999 1024.0   3.0   3.5  -1.9 99.0 99.00
2004 01 06 20  90 13.2 16.0  3.58  8.33  6.77 999 1024.1   2.9   3.5  -1.8 99.0 99.00
