#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 07 03 01 50 348  2.8  4.0  0.78 10.00  5.89 158 1011.6   8.2   8.9 999.0 99.0 99.00
2014 07 03 02 50   5  2.4  3.3  0.78 10.00  5.87 171 1011.4   8.4   9.1 999.0 99.0 99.00
2014 07 03 03 50 360  1.9  2.8  0.90 10.00  6.07 169 1011.6   8.5   9.1 999.0 99.0 99.00
2014 07 03 04 50 360  1.4  2.5  0.97 10.00  6.03 159 1011.5   8.4   9.1 999.0 99.0 99.00
2014 07 03 05 50 326  1.6  2.2  1.00 10.00  5.95 161 1011.5   8.1   9.0 999.0 99.0 99.00
2014 07 03 06 50   8  1.6  2.1  0.98 10.00  5.96 166 1011.6   8.1   9.0 999.0 99.0 99.00
2014 07 03 07 50 311  2.5  3.0  0.92 10.00  5.84 159 1011.8   7.7   9.1 999.0 99.0 99.00
2014 07 03 08 50  41  0.3  1.2  0.98 10.00  5.57 162 1012.0   7.8   9.0 999.0 99.0 99.00
2014 07 03 09 50 328  0.2  0.5  0.89 10.00  5.66 157 1011.8   7.9   8.9 999.0 99.0 99.00
2014 07 03 10 50 305  0.8  1.4  0.86 10.00  5.65 149 1011.8   7.9   9.0 999.0 99.0 99.00
2014 07 03 11 50 285  1.4  2.4  0.93 10.00  6.16 136 1011.7   7.7   9.0 999.0 99.0 99.00
2014 07 03 12 50 276  1.3  2.0  0.88 10.00  6.61 141 1011.6   7.5   9.1 999.0 99.0 99.00
2014 07 03 13 50 251  1.9  2.6  0.93  9.09  6.66 147 1011.7   7.3   9.1 999.0 99.0 99.00
2014 07 03 14 50 264  2.3  3.0  0.88 10.00  6.54 131 1011.4   7.1   9.0 999.0 99.0 99.00
2014 07 03 15 50 273  2.7  3.3  0.95  9.09  6.90 130 1011.3   6.8   8.8 999.0 99.0 99.00
2014 07 03 16 50 254  3.0  3.7  0.99  9.09  6.71 145 1011.2   6.7   8.7 999.0 99.0 99.00
2014 07 03 17 50 201  1.8  2.7  1.04  9.09  6.76 138 1011.2   6.9   8.7 999.0 99.0 99.00
2014 07 03 18 50 176  1.1  2.0  1.05 10.00  6.52 127 1011.2   6.8   8.7 999.0 99.0 99.00
2014 07 03 19 50 171  1.7  2.3  1.05 10.00  6.24 128 1011.1   7.0   8.7 999.0 99.0 99.00
2014 07 03 20 50 208  3.6  4.4  0.97  8.33  6.08 133 1010.8   7.4   8.8 999.0 99.0 99.00
2014 07 03 21 50 218  4.5  5.4  1.01  8.33  6.14 127 1010.5   7.5   8.8 999.0 99.0 99.00
2014 07 03 22 50 198  4.2  5.1  0.97  9.09  5.91 135 1010.3   7.7   8.8 999.0 99.0 99.00
2014 07 03 23 50 195  5.4  6.4  0.88  9.09  5.47 142 1010.2   7.7   8.8 999.0 99.0 99.00
2014 07 04 00 50 198  4.9  6.2  0.85 10.00  5.17 118 1010.2   7.9   8.8 999.0 99.0 99.00
2014 07 04 01 50 210  5.9  6.8  0.86  7.69  5.00 128 1009.8   8.1   8.7 999.0 99.0 99.00
2014 07 04 02 50 209  6.1  7.1  0.91  7.14  4.93 122 1009.6   8.0   8.6 999.0 99.0 99.00
2014 07 04 03 50 211  5.5  6.6  0.93  9.09  5.23 136 1009.4   8.1   8.6 999.0 99.0 99.00
2014 07 04 04 50 211  4.8  5.9  0.99 10.00  5.45 137 1009.3   8.2   8.6 999.0 99.0 99.00
2014 07 04 05 50 201  4.7  5.6  1.04  9.09  5.76 128 1009.2   8.3   8.6 999.0 99.0 99.00
2014 07 04 06 50 196  5.5  6.5  1.08  9.09  5.67 135 1009.0   8.4   8.6 999.0 99.0 99.00
2014 07 04 07 50 205  5.6  6.3  1.02  5.88  5.26 133 1009.0   8.3   8.5 999.0 99.0 99.00
