YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 296  8.9 10.3  2.80 12.50  7.55 999 1022.8    .5   2.5 999.0 99.0
98 01 01 01 282  7.4  9.1  2.76 12.50  7.65 999 1023.3    .9   2.7 999.0 99.0
98 01 01 02 283  6.3  8.1  2.88 11.11  7.53 999 1024.1    .5   2.7 999.0 99.0
98 01 01 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 04 322  3.9  5.2  2.98 12.50  8.00 999 1025.5    .5   2.5 999.0 99.0
98 01 01 05 289  3.3  4.8  2.98 12.50  8.28 999 1026.2    .4   2.5 999.0 99.0
98 01 01 06 303  2.4  3.6  3.06 12.50  8.58 999 1026.7    .4   2.5 999.0 99.0
98 01 01 07 342  1.7  2.6 99.00 99.00 99.00 999 1027.6    .4   2.5 999.0 99.0
98 01 01 08 108   .6  1.7  3.09 12.50  8.53 999 1027.8 999.0   2.5 999.0 99.0
98 01 01 09  99  1.8  2.8  3.16 12.50  8.86 999 1028.1    .4   2.4 999.0 99.0
98 01 01 10 131  3.8  5.4  2.53 12.50  8.20 999 1028.4    .5   2.4 999.0 99.0
98 01 01 11 121  5.2  6.6  2.56 12.50  8.35 999 1028.2    .5   2.4 999.0 99.0
98 01 01 12 128  5.9  7.6  2.36 12.50  8.33 999 1028.2    .8   2.5 999.0 99.0
98 01 01 13 140  7.0  8.4  2.30 11.11  8.20 999 1027.9    .9   2.5 999.0 99.0
98 01 01 14 146  8.1  9.8  2.40 12.50  8.34 999 1027.9    .9   2.5 999.0 99.0
98 01 01 15 142  8.9 11.1  2.18 11.11  7.79 999 1027.7   1.2   2.5 999.0 99.0
98 01 01 16 142  9.2 10.5  1.97 11.11  7.50 999 1027.9   1.3   2.4 999.0 99.0
98 01 01 17 135 10.1 11.9  2.07 11.11  7.20 999 1027.2   1.3   2.5 999.0 99.0
98 01 01 18 130 10.5 12.2  1.86 11.11  6.40 999 1026.6   1.4   2.5 999.0 99.0
98 01 01 19 130 10.2 12.4  1.86 11.11  6.04 999 1026.4   1.6   2.5 999.0 99.0
98 01 01 20 131 11.1 12.9  2.11 11.11  6.51 999 1026.4   1.3   2.5 999.0 99.0
98 01 01 21 136 11.2 14.8  2.07 12.50  6.50 999 1026.3   1.7   2.5 999.0 99.0
98 01 01 22 132 12.2 14.8  2.15  5.56  6.10 999 1025.8   2.1   2.5 999.0 99.0
98 01 01 23 128 11.6 14.1  2.20  5.88  6.02 999 1024.9   2.1   2.5 999.0 99.0
98 01 02 00 131 13.0 15.9  2.58  6.25  6.39 999 1024.3   2.3   2.5 999.0 99.0
98 01 02 01 136 12.0 14.2  2.77  6.67  6.54 999 1024.0   2.3   2.5 999.0 99.0
98 01 02 02 126 12.3 15.0  3.10  7.14  6.99 999 1023.1   1.7   2.5 999.0 99.0
98 01 02 03 135 13.1 16.1  3.11  6.67  7.11 999 1022.9   2.3   2.5 999.0 99.0
98 01 02 04 135 13.3 16.4  3.54 10.00  7.52 999 1022.5   2.3   2.5 999.0 99.0
98 01 02 05 133 12.5 15.1  4.41 20.00  8.61 999 1022.3   2.4   2.7 999.0 99.0
98 01 02 06 135 12.0 14.5  3.98 12.50  8.20 999 1021.7   2.0   2.7 999.0 99.0
98 01 02 07 137 14.2 17.7  4.67 20.00  8.29 999 1021.1   2.5   2.7 999.0 99.0
98 01 02 08 133 15.9 18.9  4.43 10.00  8.03 999 1020.2   2.4   2.7 999.0 99.0
98 01 02 09 132 16.0 19.7  5.03 11.11  8.50 999 1019.5   2.4   2.7 999.0 99.0
98 01 02 10 136 15.0 18.5  5.15 16.67  8.54 999 1019.4   2.4   2.7 999.0 99.0
98 01 02 11 137 14.9 18.1  5.44 16.67  9.01 999 1018.9   2.4   2.7 999.0 99.0
98 01 02 12 130 13.5 16.0  5.01 16.67  9.04 999 1018.1   2.4   2.7 999.0 99.0
98 01 02 13 139 13.6 16.7  4.87 16.67  8.72 999 1017.4   2.8   2.7 999.0 99.0
98 01 02 14 140 13.9 17.1  4.94 16.67  8.85 999 1016.6   2.8   2.7 999.0 99.0
98 01 02 15 140 13.9 17.5  4.70 10.00  8.21 999 1016.1   3.0   2.7 999.0 99.0
98 01 02 16 140 14.3 17.3  4.83 14.29  8.47 999 1015.1   3.1   2.7 999.0 99.0
98 01 02 17 143 14.2 17.6  5.03 16.67  8.69 999 1014.2   3.1   2.7 999.0 99.0
98 01 02 18 145 13.9 17.0  5.19 16.67  9.09 999 1013.5   3.1   2.7 999.0 99.0
98 01 02 19 147 14.7 17.9  4.72 16.67  8.61 999 1012.6   3.2   2.7 999.0 99.0
98 01 02 20 148 14.6 18.4  4.87 16.67  8.72 999 1011.9   3.2   2.7 999.0 99.0
98 01 02 21 145 15.2 18.7  5.86 16.67  9.39 999 1011.3   3.1   2.7 999.0 99.0
98 01 02 22 146 15.4 19.9  5.43 14.29  8.79 999 1010.6   2.9   2.7 999.0 99.0
98 01 02 23 149 15.2 18.5  5.46 14.29  8.71 999 1009.7   3.1   2.7 999.0 99.0
98 01 03 00 153 15.1 19.0  5.67 14.29  8.83 999 1008.7   3.2   2.7 999.0 99.0
98 01 03 01 156 15.4 18.7  5.00  9.09  8.26 999 1007.5   3.5   2.7 999.0 99.0
98 01 03 02 161 14.8 17.8  5.40 14.29  8.85 999 1006.9   3.5   2.7 999.0 99.0
98 01 03 03 162 13.8 16.9  5.10  9.09  8.09 999 1006.6   3.2   2.7 999.0 99.0
98 01 03 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 03 05 191 12.1 15.1  4.56 10.00  8.01 999 1006.9   2.3   2.7 999.0 99.0
98 01 03 06 202 10.4 13.0  4.90 10.00  8.49 999 1007.7   1.7   2.7 999.0 99.0
98 01 03 07 232  8.5 10.3  4.78  9.09  8.47 999 1008.8    .9   2.7 999.0 99.0
98 01 03 08 249  7.5  9.5  4.38  9.09  8.51 999 1009.8    .5   2.7 999.0 99.0
98 01 03 09 229  5.3  7.1  4.15 14.29  8.57 999 1010.4    .8   2.7 999.0 99.0
98 01 03 10 225  4.1  5.9  3.88 11.11  8.20 999 1010.8    .8   2.7 999.0 99.0
98 01 03 11 240  1.9  3.2  3.71 11.11  8.39 999 1011.1    .5   2.7 999.0 99.0
98 01 03 12 170  2.9  4.3  3.72 10.00  8.36 999 1011.3    .4   2.7 999.0 99.0
