#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 999 99.0 99.0 99.00 99.00 99.00 999  991.5 999.0   3.6 999.0 99.0 99.00
2011 01 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999  991.1 999.0   3.6 999.0 99.0 99.00
2011 01 01 01 50 999 99.0 99.0 99.00 99.00 99.00 999  991.0 999.0   3.6 999.0 99.0 99.00
2011 01 01 02 50 999 99.0 99.0 99.00 99.00 99.00 999  991.2 999.0   3.6 999.0 99.0 99.00
2011 01 01 03 50 999 99.0 99.0 99.00 99.00 99.00 999  990.9 999.0   3.6 999.0 99.0 99.00
2011 01 01 04 50 999 99.0 99.0 99.00 99.00 99.00 999  990.9 999.0   3.6 999.0 99.0 99.00
2011 01 01 05 50 999 99.0 99.0 99.00 99.00 99.00 999  990.8 999.0   3.6 999.0 99.0 99.00
2011 01 01 06 50 999 99.0 99.0 99.00 99.00 99.00 999  990.4 999.0   3.5 999.0 99.0 99.00
2011 01 01 07 50 999 99.0 99.0 99.00 99.00 99.00 999  989.2 999.0   3.6 999.0 99.0 99.00
2011 01 01 08 50 999 99.0 99.0 99.00 99.00 99.00 999  989.2 999.0   3.6 999.0 99.0 99.00
2011 01 01 09 50 999 99.0 99.0 99.00 99.00 99.00 999  988.9 999.0   3.6 999.0 99.0 99.00
2011 01 01 10 50 999 99.0 99.0 99.00 99.00 99.00 999  988.6 999.0   3.6 999.0 99.0 99.00
2011 01 01 11 50 999 99.0 99.0 99.00 99.00 99.00 999  988.0 999.0   3.6 999.0 99.0 99.00
2011 01 01 12 50 999 99.0 99.0 99.00 99.00 99.00 999  987.1 999.0   3.6 999.0 99.0 99.00
2011 01 01 13 50 999 99.0 99.0 99.00 99.00 99.00 999  986.5 999.0   3.5 999.0 99.0 99.00
2011 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999  986.0 999.0   3.6 999.0 99.0 99.00
2011 01 01 15 50 999 99.0 99.0 99.00 99.00 99.00 999  985.0 999.0   3.5 999.0 99.0 99.00
2011 01 01 16 50 999 99.0 99.0 99.00 99.00 99.00 999  984.4 999.0   3.6 999.0 99.0 99.00
2011 01 01 17 50 999 99.0 99.0 99.00 99.00 99.00 999  983.8 999.0   3.6 999.0 99.0 99.00
2011 01 01 18 50 999 99.0 99.0 99.00 99.00 99.00 999  983.2 999.0   3.5 999.0 99.0 99.00
2011 01 01 19 50 999 99.0 99.0 99.00 99.00 99.00 999  982.5 999.0   3.5 999.0 99.0 99.00
2011 01 01 20 50 999 99.0 99.0 99.00 99.00 99.00 999  982.1 999.0   3.5 999.0 99.0 99.00
2011 01 01 21 50 999 99.0 99.0 99.00 99.00 99.00 999  981.4 999.0   3.5 999.0 99.0 99.00
2011 01 01 22 50 999 99.0 99.0 99.00 99.00 99.00 999  980.5 999.0   3.5 999.0 99.0 99.00
2011 01 01 23 50 999 99.0 99.0 99.00 99.00 99.00 999  979.5 999.0   3.5 999.0 99.0 99.00
2011 01 02 00 50 999 99.0 99.0 99.00 99.00 99.00 999  979.0 999.0   3.5 999.0 99.0 99.00
2011 01 02 01 50 999 99.0 99.0 99.00 99.00 99.00 999  978.1 999.0   3.4 999.0 99.0 99.00
2011 01 02 02 50 999 99.0 99.0 99.00 99.00 99.00 999  977.8 999.0   3.3 999.0 99.0 99.00
2011 01 02 03 50 999 99.0 99.0 99.00 99.00 99.00 999  977.4 999.0   3.2 999.0 99.0 99.00
2011 01 02 04 50 999 99.0 99.0 99.00 99.00 99.00 999  977.0 999.0   3.3 999.0 99.0 99.00
2011 01 02 05 50 999 99.0 99.0 99.00 99.00 99.00 999  976.6 999.0   3.3 999.0 99.0 99.00
2011 01 02 06 50 999 99.0 99.0 99.00 99.00 99.00 999  976.2 999.0   3.4 999.0 99.0 99.00
2011 01 02 07 50 999 99.0 99.0 99.00 99.00 99.00 999  975.6 999.0   3.3 999.0 99.0 99.00
2011 01 02 08 50 999 99.0 99.0 99.00 99.00 99.00 999  975.5 999.0   3.2 999.0 99.0 99.00
2011 01 02 09 50 999 99.0 99.0 99.00 99.00 99.00 999  977.1 999.0   3.2 999.0 99.0 99.00
2011 01 02 10 50 999 99.0 99.0 99.00 99.00 99.00 999  978.3 999.0   3.2 999.0 99.0 99.00
2011 01 02 11 50 999 99.0 99.0 99.00 99.00 99.00 999  979.0 999.0   3.2 999.0 99.0 99.00
2011 01 02 12 50 999 99.0 99.0 99.00 99.00 99.00 999  979.5 999.0   3.2 999.0 99.0 99.00
2011 01 02 13 50 999 99.0 99.0 99.00 99.00 99.00 999  980.0 999.0   3.2 999.0 99.0 99.00
2011 01 02 14 50 999 99.0 99.0 99.00 99.00 99.00 999  980.3 999.0   3.2 999.0 99.0 99.00
2011 01 02 15 50 999 99.0 99.0 99.00 99.00 99.00 999  980.8 999.0   3.2 999.0 99.0 99.00
2011 01 02 16 50 999 99.0 99.0 99.00 99.00 99.00 999  981.0 999.0   3.3 999.0 99.0 99.00
2011 01 02 17 50 999 99.0 99.0 99.00 99.00 99.00 999  981.7 999.0   3.3 999.0 99.0 99.00
2011 01 02 18 50 999 99.0 99.0 99.00 99.00 99.00 999  982.4 999.0   3.3 999.0 99.0 99.00
2011 01 02 19 50 999 99.0 99.0 99.00 99.00 99.00 999  983.2 999.0   3.3 999.0 99.0 99.00
2011 01 02 20 50 999 99.0 99.0 99.00 99.00 99.00 999  983.8 999.0   3.3 999.0 99.0 99.00
2011 01 02 21 50 999 99.0 99.0 99.00 99.00 99.00 999  984.3 999.0   3.4 999.0 99.0 99.00
2011 01 02 22 50 999 99.0 99.0 99.00 99.00 99.00 999  984.6 999.0   3.3 999.0 99.0 99.00
2011 01 02 23 50 999 99.0 99.0 99.00 99.00 99.00 999  984.7 999.0   3.4 999.0 99.0 99.00
2011 01 03 00 50 999 99.0 99.0 99.00 99.00 99.00 999  985.0 999.0   3.4 999.0 99.0 99.00
2011 01 03 01 50 999 99.0 99.0 99.00 99.00 99.00 999  985.2 999.0   3.3 999.0 99.0 99.00
2011 01 03 02 50 999 99.0 99.0 99.00 99.00 99.00 999  985.5 999.0   3.4 999.0 99.0 99.00
2011 01 03 03 50 999 99.0 99.0 99.00 99.00 99.00 999  986.0 999.0   3.3 999.0 99.0 99.00
2011 01 03 04 50 999 99.0 99.0 99.00 99.00 99.00 999  986.2 999.0   3.3 999.0 99.0 99.00
2011 01 03 05 50 999 99.0 99.0 99.00 99.00 99.00 999  986.7 999.0   3.3 999.0 99.0 99.00
2011 01 03 06 50 999 99.0 99.0 99.00 99.00 99.00 999  986.7 999.0   3.3 999.0 99.0 99.00
2011 01 03 07 50 999 99.0 99.0 99.00 99.00 99.00 999  987.3 999.0   3.1 999.0 99.0 99.00
2011 01 03 08 50 999 99.0 99.0 99.00 99.00 99.00 999  987.3 999.0   3.2 999.0 99.0 99.00
2011 01 03 09 50 999 99.0 99.0 99.00 99.00 99.00 999  987.6 999.0   3.3 999.0 99.0 99.00
2011 01 03 10 50 999 99.0 99.0 99.00 99.00 99.00 999  988.0 999.0   3.3 999.0 99.0 99.00
2011 01 03 11 50 999 99.0 99.0 99.00 99.00 99.00 999  988.1 999.0   3.3 999.0 99.0 99.00
2011 01 03 12 50 999 99.0 99.0 99.00 99.00 99.00 999  988.6 999.0   3.3 999.0 99.0 99.00
2011 01 03 13 50 999 99.0 99.0 99.00 99.00 99.00 999  988.7 999.0   3.3 999.0 99.0 99.00
2011 01 03 14 50 999 99.0 99.0 99.00 99.00 99.00 999  988.5 999.0   3.3 999.0 99.0 99.00
2011 01 03 15 50 999 99.0 99.0 99.00 99.00 99.00 999  988.8 999.0   3.3 999.0 99.0 99.00
2011 01 03 16 50 999 99.0 99.0 99.00 99.00 99.00 999  988.9 999.0   3.3 999.0 99.0 99.00
2011 01 03 17 50 999 99.0 99.0 99.00 99.00 99.00 999  989.2 999.0   3.3 999.0 99.0 99.00
2011 01 03 18 50 999 99.0 99.0 99.00 99.00 99.00 999  990.0 999.0   3.3 999.0 99.0 99.00
2011 01 03 19 50 999 99.0 99.0 99.00 99.00 99.00 999  990.5 999.0   3.3 999.0 99.0 99.00
2011 01 03 20 50 999 99.0 99.0 99.00 99.00 99.00 999  991.0 999.0   3.3 999.0 99.0 99.00
2011 01 03 21 50 999 99.0 99.0 99.00 99.00 99.00 999  991.4 999.0   3.3 999.0 99.0 99.00
2011 01 03 22 50 999 99.0 99.0 99.00 99.00 99.00 999  991.8 999.0   3.3 999.0 99.0 99.00
2011 01 03 23 50 999 99.0 99.0 99.00 99.00 99.00 999  992.3 999.0   3.3 999.0 99.0 99.00
2011 01 04 00 50 999 99.0 99.0 99.00 99.00 99.00 999  992.4 999.0   3.3 999.0 99.0 99.00
2011 01 04 01 50 999 99.0 99.0 99.00 99.00 99.00 999  992.7 999.0   3.3 999.0 99.0 99.00
2011 01 04 02 50 999 99.0 99.0 99.00 99.00 99.00 999  993.6 999.0   3.3 999.0 99.0 99.00
2011 01 04 03 50 999 99.0 99.0 99.00 99.00 99.00 999  994.0 999.0   3.3 999.0 99.0 99.00
2011 01 04 04 50 999 99.0 99.0 99.00 99.00 99.00 999  994.7 999.0   3.3 999.0 99.0 99.00
2011 01 04 05 50 999 99.0 99.0 99.00 99.00 99.00 999  995.1 999.0   3.3 999.0 99.0 99.00
2011 01 04 06 50 999 99.0 99.0 99.00 99.00 99.00 999  995.8 999.0   3.3 999.0 99.0 99.00
2011 01 04 07 50 999 99.0 99.0 99.00 99.00 99.00 999  996.1 999.0   3.2 999.0 99.0 99.00
2011 01 04 08 50 999 99.0 99.0 99.00 99.00 99.00 999  996.5 999.0   3.0 999.0 99.0 99.00
2011 01 04 09 50 999 99.0 99.0 99.00 99.00 99.00 999  997.1 999.0   3.1 999.0 99.0 99.00
2011 01 04 10 50 999 99.0 99.0 99.00 99.00 99.00 999  997.8 999.0   3.1 999.0 99.0 99.00
2011 01 04 11 50 999 99.0 99.0 99.00 99.00 99.00 999  998.4 999.0   3.1 999.0 99.0 99.00
2011 01 04 12 50 999 99.0 99.0 99.00 99.00 99.00 999  998.7 999.0   3.1 999.0 99.0 99.00
