YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 03 05  56  9.8 12.5  2.23  9.09  6.10 999  997.1   0.5   2.8 999.0 99.0 99.00
2001 01 03 06  48 10.5 12.4  2.50  9.09  6.40 999  996.6   1.0   2.9 999.0 99.0 99.00
2001 01 03 07  47  9.9 11.7  2.68  9.09  6.72 999  997.0   1.0   3.1 999.0 99.0 99.00
2001 01 03 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 03 09  46  6.8  9.0 99.00 99.00 99.00 999  996.6   0.8   3.1 999.0 99.0 99.00
2001 01 03 10  42  6.8  8.5  3.09  9.09  7.29 999  995.9   0.8   3.1 999.0 99.0 99.00
2001 01 03 11  44  5.8  7.3  3.28 10.00  7.54 999  995.9   0.8   3.1 999.0 99.0 99.00
2001 01 03 12  29  7.7 10.3  3.54 10.00  7.63 999  995.6   0.6   3.1 999.0 99.0 99.00
2001 01 03 13  42 13.0 15.7  3.52 10.00  7.46 999  995.0   0.1   3.1 999.0 99.0 99.00
2001 01 03 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 03 15  42 13.5 16.6 99.00 99.00 99.00 999  994.9  -0.4   3.1 999.0 99.0 99.00
2001 01 03 16  44 99.0 16.8  3.41 10.00  6.88 999 9999.0  -0.4   3.1 999.0 99.0 99.00
2001 01 03 17  36 13.8 17.1 99.00 99.00 99.00 999  994.9  -0.8   3.1 999.0 99.0 99.00
2001 01 03 18  40 13.2 15.5  3.42 10.00  6.73 999  994.9  -1.2   3.2 999.0 99.0 99.00
2001 01 03 19  42 12.2 14.8  3.68 10.00  6.87 999  995.3  -1.4   3.2 999.0 99.0 99.00
2001 01 03 20  35 12.9 15.6  3.70 10.00  6.89 999  995.5  -1.8   3.1 999.0 99.0 99.00
2001 01 03 21  45 12.0 14.8  3.86 10.00  7.21 999  995.6  -1.9   3.1 999.0 99.0 99.00
2001 01 03 22  36 12.1 14.8  3.62 10.00  7.20 999  995.6  -1.8   2.8 999.0 99.0 99.00
2001 01 03 23  32 11.9 14.2  4.05 11.11  7.37 999  995.6  -2.0   2.8 999.0 99.0 99.00
2001 01 04 00  38 11.4 13.4  3.79 11.11  7.44 999  995.5  -2.2   2.8 999.0 99.0 99.00
2001 01 04 01  40 11.0 13.3  3.70 11.11  7.48 999  995.1  -1.6   2.8 999.0 99.0 99.00
2001 01 04 02  40 12.6 15.7  3.62 10.00  7.39 999  994.7  -1.5   2.8 999.0 99.0 99.00
2001 01 04 03  35 14.1 17.4 99.00 99.00 99.00 999  994.9  -2.1   2.8 999.0 99.0 99.00
2001 01 04 04  36 14.7 18.2  3.74  9.09  7.11 999  994.9  -2.1   2.8 999.0 99.0 99.00
2001 01 04 05  37 15.5 18.3  3.96 11.11  7.11 999  995.0  -2.4   2.8 999.0 99.0 99.00
2001 01 04 06  39 14.6 17.6  4.38 11.11  7.52 999  995.1  -2.4   2.8 999.0 99.0 99.00
2001 01 04 07  41 14.5 18.0  4.54 11.11  7.99 999  995.3  -2.3   2.8 999.0 99.0 99.00
2001 01 04 08  42 13.9 16.8  4.40 12.50  7.90 999  995.3  -2.3   2.7 999.0 99.0 99.00
2001 01 04 09  32 14.0 16.1  4.86 11.11  8.25 999  995.1  -2.2   2.8 999.0 99.0 99.00
2001 01 04 10  29 14.7 17.5  4.40 11.11  7.67 999  995.0  -2.6   2.8 999.0 99.0 99.00
2001 01 04 11  24 15.2 18.5  4.62 11.11  7.89 999  995.0  -3.0   2.8 999.0 99.0 99.00
2001 01 04 12  23 15.0 17.7  4.93 11.11  7.80 999  994.9  -3.2   2.8 999.0 99.0 99.00
2001 01 04 13  25 14.7 17.4  4.15  8.33  7.44 999  994.7  -2.7   2.8 999.0 99.0 99.00
2001 01 04 14  22 14.9 18.4  4.31  7.69  7.16 999  994.4  -2.6   2.8 999.0 99.0 99.00
2001 01 04 15  22 14.3 18.2  4.30  8.33  7.30 999  993.5  -2.3   2.8 999.0 99.0 99.00
2001 01 04 16  21 15.2 19.3  4.11  9.09  7.12 999  993.2  -1.9   2.7 999.0 99.0 99.00
2001 01 04 17  25 15.0 17.8  3.96 11.11  6.95 999  992.6  -1.5   2.7 999.0 99.0 99.00
2001 01 04 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 04 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 04 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 04 21 180  5.0  6.5  3.31 10.00  7.49 999  993.2   0.8   2.6 999.0 99.0 99.00
2001 01 04 22 180  2.2  3.1  3.17 10.00  7.48 999  993.5   0.8   2.5 999.0 99.0 99.00
2001 01 04 23 141  3.3  4.6  2.97 10.00  7.53 999  993.5   1.2   2.5 999.0 99.0 99.00
2001 01 05 00 142  6.4  9.5  3.17  9.09  7.66 999  993.4   1.7   2.7 999.0 99.0 99.00
2001 01 05 01  97  2.6  3.5  2.90 10.00  7.43 999  993.4   0.4   2.7 999.0 99.0 99.00
2001 01 05 02  83  4.2  5.1  2.94 10.00  7.48 999  993.4   0.9   2.7 999.0 99.0 99.00
2001 01 05 03 107  6.8  8.1  2.61  9.09  7.26 999  993.2   1.6   2.7 999.0 99.0 99.00
2001 01 05 04  94  7.3  8.9  2.64  9.09  7.30 999  993.2   1.9   2.6 999.0 99.0 99.00
2001 01 05 05  99  9.4 11.1  2.35  9.09  6.69 999  993.2   1.4   2.7 999.0 99.0 99.00
2001 01 05 06  93  7.8 99.0 99.00 99.00 99.00 999 9999.0   1.6 999.0 999.0 99.0 99.00
2001 01 05 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 05 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 05 09 120 12.3 15.3  2.69  9.09  6.06 999  994.2   1.7   2.7 999.0 99.0 99.00
2001 01 05 10 124 12.2 15.6 99.00 99.00 99.00 999  994.5   1.6   2.7 999.0 99.0 99.00
2001 01 05 11 115 11.4 13.1  3.40  9.09  6.70 999  994.9   1.6   2.7 999.0 99.0 99.00
2001 01 05 12 103 11.4 13.5  3.44  9.09  6.95 999  994.9   1.5   2.7 999.0 99.0 99.00
2001 01 05 13 106 11.4 13.6  3.21  8.33  6.74 999  995.3   0.9   2.7 999.0 99.0 99.00
2001 01 05 14 105  9.9 12.3  3.59  9.09  7.04 999  995.5   0.9   2.7 999.0 99.0 99.00
2001 01 05 15  98 11.2 99.0 99.00 99.00 99.00 999 9999.0   0.9 999.0 999.0 99.0 99.00
2001 01 05 16  96 11.3 14.9  3.31  9.09  6.86 999  995.8   0.8   2.7 999.0 99.0 99.00
2001 01 05 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 05 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 05 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 05 20  90 13.1 15.8 99.00 99.00 99.00 999  997.4   0.5   2.7 999.0 99.0 99.00
2001 01 05 21  84 12.6 15.6  3.92  9.09  7.13 999  998.0   0.1   2.5 999.0 99.0 99.00
2001 01 05 22  84 11.5 14.8  3.43  9.09  6.76 999 9999.0  -0.2   2.5 999.0 99.0 99.00
2001 01 05 23  78 11.1 12.8 99.00 99.00 99.00 999  999.2  -0.6   2.5 999.0 99.0 99.00
2001 01 06 00  83 11.3 13.9  3.77  9.09  7.13 999  999.4  -0.7   2.5 999.0 99.0 99.00
2001 01 06 01  72  9.4 11.6  3.46  9.09  6.88 999  999.4  -0.7   2.5 999.0 99.0 99.00
2001 01 06 02  69 11.6 14.0  3.62  9.09  7.24 999  999.4  -0.9   2.5 999.0 99.0 99.00
2001 01 06 03  64  9.8 12.5 99.00 99.00 99.00 999  999.8  -0.7   2.5 999.0 99.0 99.00
2001 01 06 04  62  9.1 99.0 99.00 99.00 99.00 999 1000.2  -1.8   2.5 999.0 99.0 99.00
2001 01 06 05  71 12.4 14.8 99.00 99.00 99.00 999 1000.4  -0.8   2.5 999.0 99.0 99.00
2001 01 06 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 06 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 06 08  58  8.2 10.5  3.18 10.00  6.88 999 1001.6  -1.6   2.5 999.0 99.0 99.00
2001 01 06 09  68  9.0 12.0  3.03  9.09  6.83 999 1001.8  -1.7   2.5 999.0 99.0 99.00
2001 01 06 10  47  8.9 10.8  3.69  9.09  7.43 999 1001.6  -1.1   2.5 999.0 99.0 99.00
2001 01 06 11  45 10.5 13.5  3.48  9.09  7.24 999 1001.5  -1.1   2.5 999.0 99.0 99.00
2001 01 06 12  35 11.7 14.2  3.97  9.09  7.49 999 1001.3  -1.8   2.5 999.0 99.0 99.00
