YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 03 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 12 229  8.0 10.3  2.32 11.11  6.61 999  998.3   2.2   3.5 999.0 99.0
96 01 03 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 15 237  8.7 10.5  2.24 12.50  6.24 999 1002.3   2.4   3.4 999.0 99.0
96 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 18 215  6.0  7.2  2.06 11.11  6.16 999 1005.9   2.2   3.4 999.0 99.0
96 01 03 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 21 178  4.9  5.8  1.94 11.11  6.57 999 1009.5   3.3   3.4 999.0 99.0
96 01 03 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 03 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 00 122  3.5  4.5  1.84 11.11  6.98 999 1011.9   3.3   3.4 999.0 99.0
96 01 04 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 03 137  5.6  6.9  1.53 11.11  6.43 999 1013.5   3.9   3.4 999.0 99.0
96 01 04 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 06 136  5.6  6.5  1.40 11.11  6.46 999 1015.9   3.9   3.4 999.0 99.0
96 01 04 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 09 117  5.4  6.4  1.24  9.09  6.15 999 1018.2   3.9   3.4 999.0 99.0
96 01 04 10 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 11 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 12  96  5.1  6.1  1.25  9.09  6.35 999 1019.7   3.7   3.4 999.0 99.0
96 01 04 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 15 103  6.4  7.7  1.42 12.50  6.46 999 1020.6   3.6   3.4 999.0 99.0
96 01 04 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 18  72  6.1  7.6  1.92 12.50  7.41 999 1021.3   3.5   3.4 999.0 99.0
96 01 04 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 21  85  6.9  9.0  2.19 11.11  7.41 999 1022.7   3.9   3.4 999.0 99.0
96 01 04 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
96 01 04 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
