"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I told y'all it's coming!

#Raj #BeychellaChallenge #Beychella #Beyoncé… https://t.co/ZRzOP246xz",FALSE,0,NA,2018-05-07 00:03:58,FALSE,NA,"993280243023544320",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RajTheOnyx",0,FALSE,FALSE,NA,NA
"2","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 23:57:34,FALSE,NA,"993278632926875654",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","itsnotmarvyn",21415,TRUE,FALSE,NA,NA
"3","I watch #Beychella twice a week just because <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><U+200D><U+2640><U+FE0F>",FALSE,0,NA,2018-05-06 23:54:46,FALSE,NA,"993277924404015104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AkanButNoJeezyy",0,FALSE,FALSE,NA,NA
"4","RT @MrJeromeTrammel: So am I the only one who noticed when @Beyonce went to change outfits she changed her damn nail polish? We don’t deser…",FALSE,0,NA,2018-05-06 23:54:32,FALSE,NA,"993277866078081025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MBCognitionz",19076,TRUE,FALSE,NA,NA
"5","RT @imbriyonce: If you thought I was about to sit here, learn choreo &amp; dance like I’m one of Beyoncé's backup dancer... YOU’RE ABSOLUTELY R…",FALSE,0,NA,2018-05-06 23:53:39,FALSE,NA,"993277643708608513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FalteinYolanda",97049,TRUE,FALSE,NA,NA
"6","<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>“WHAT HAPPENED AT COACHELLA 2018 | Beyonce! Eminem! and more!”<ed><U+00A0><U+00BC><ed><U+00BC><U+008C>

By: @MahoganyLOX<ed><U+00A0><U+00BD><ed><U+00B4><U+0090>

<ed><U+00A0><U+00BD><ed><U+00B1><U+0089> https://t.co/T2J7Vmjh7T  

Like<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
Subs<ed><U+00A0><U+00BD><ed><U+00B4><U+0094>
#Beychella",FALSE,0,NA,2018-05-06 23:53:00,FALSE,NA,"993277481582055425",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IdiotByHemmings",0,FALSE,FALSE,NA,NA
"7","RT @MrJeromeTrammel: So am I the only one who noticed when @Beyonce went to change outfits she changed her damn nail polish? We don’t deser…",FALSE,0,NA,2018-05-06 23:47:42,FALSE,NA,"993276147646582785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ferni96196618",19076,TRUE,FALSE,NA,NA
"8","RT @EmoJoshy1: 2017: Lady Gaga performs and releases a surprise single at #Gagachella
It becomes the First #1 Female Song on Worldwide iTun…",FALSE,0,NA,2018-05-06 23:45:49,FALSE,NA,"993275676005453824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lady_Demi01",152,TRUE,FALSE,NA,NA
"9","RT @KingJerod_: Ok so for everyone who's saying I should upload a video without the baby crying here it is <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Beychella #EverybodyMad #Beyo…",FALSE,0,NA,2018-05-06 23:45:48,FALSE,NA,"993275669948846080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NormaneeKorslay",28,TRUE,FALSE,NA,NA
"10","RT @BleuuCarly: GET IN FORMATION <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#Beychella #beyonce #beyoncecoachelle #beyonceconcert #ontheruntour #beychellachallenge #beychella2018…",FALSE,0,NA,2018-05-06 23:40:56,FALSE,NA,"993274445761515520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AWholeBlessing",52,TRUE,FALSE,NA,NA
"11","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 23:40:12,FALSE,NA,"993274258494279683",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emicoumflo",21415,TRUE,FALSE,NA,NA
"12","RT @KingJerod_: Ok so for everyone who's saying I should upload a video without the baby crying here it is <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Beychella #EverybodyMad #Beyo…",FALSE,0,NA,2018-05-06 23:36:15,FALSE,NA,"993273266382008320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hazelnoeIIe",28,TRUE,FALSE,NA,NA
"13","RT @allisona15: Waking up this morning and just watching ALL the #Beychella clips like https://t.co/Wx0BuH5rNq",FALSE,0,NA,2018-05-06 23:34:21,FALSE,NA,"993272789779058688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissynoteigen",4347,TRUE,FALSE,NA,NA
"14","RT @KingJerod_: Ok so for everyone who's saying I should upload a video without the baby crying here it is <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Beychella #EverybodyMad #Beyo…",FALSE,0,NA,2018-05-06 23:28:01,FALSE,NA,"993271194106449921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","g0ldenlife_",28,TRUE,FALSE,NA,NA
