"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"167","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",FALSE,0,NA,2018-05-06 20:03:37,FALSE,NA,"993219753777991681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dzumizunenteru",131,TRUE,FALSE,NA,NA
"168","RT @Tesla_Token: 2 more investors then we will announce the winners

2 out of the next 5 investors gets 1000000 TLS
And  The highest invest…",FALSE,0,NA,2018-05-06 20:03:13,FALSE,NA,"993219655207538689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amjadparvaiz786",228,TRUE,FALSE,NA,NA
"169","RT @Gallvin1: @quavostuntin at #coachella wearing @balenciaga shirt x and shoes @louisvuitton scarf… https://t.co/QrZWuVSGk8",FALSE,0,NA,2018-05-06 20:01:52,FALSE,NA,"993219315947094017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","medad_tg",49,TRUE,FALSE,NA,NA
"170","RT @Saidamar: I<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>COULD<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>NOT<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>MISS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>THIS<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE>ONE #BEYCHELLA #Coachella https://t.co/sSdffcqSz5",FALSE,0,NA,2018-05-06 20:00:48,FALSE,NA,"993219048187015169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BacockObama",21415,TRUE,FALSE,NA,NA
"171","RT @Coachella_18: Taylor Hill #Coachella https://t.co/halFUFG8Du",FALSE,0,NA,2018-05-06 20:00:33,FALSE,NA,"993218981858291712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElijahKStark",336,TRUE,FALSE,NA,NA
"172","RT @RodeoTheAlbum: Travis Scott and Kylie Jenner at #Coachella https://t.co/XtWnsPZ2Kh",FALSE,0,NA,2018-05-06 20:00:29,FALSE,NA,"993218967102738432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xx__mvv",1222,TRUE,FALSE,NA,NA
"173","RT @consequence: #Coachella reveals 2018 daily schedule, and there are some tough set time conflicts: https://t.co/VPuLcTn65X https://t.co/…",FALSE,0,NA,2018-05-06 20:00:17,FALSE,NA,"993218917207166976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","medad_tg",55,TRUE,FALSE,NA,NA
"174","RT @RLMProvisions: Great story about one of the amazing #date farms in the #Coachella Valley. Learn more about the Bautista family and thei…",FALSE,0,NA,2018-05-06 19:59:08,FALSE,NA,"993218626743406594",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","CivilEats",4,TRUE,FALSE,NA,NA
"175","RT @kahrazyinlove: she looked so good! #Coachella #Beychella https://t.co/AtUefy0c97",FALSE,0,NA,2018-05-06 19:56:31,FALSE,NA,"993217968980062213",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PEACE_XI_III",9,TRUE,FALSE,NA,NA
"176","This track by DJ Koze is the shit! <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> https://t.co/49xUfOhj5R The  song samples ""Neither one of us"" by Gladys Knight… https://t.co/y3v5YHMNOf",FALSE,0,NA,2018-05-06 19:54:10,TRUE,NA,"993217377167953925",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","djcooky78",0,FALSE,FALSE,NA,NA
