"","lon","lat"
"1",NA,NA
"2",45.0303408,55.8220827
"3",105.318756,61.52401
"4",NA,NA
"5",4.5624426,8.9847995
"6",NA,NA
"7",-119.4179324,36.778261
"8",-0.249525,44.5886629
"9",-95.4605133,29.8135274
"10",-77.0354247,38.9294044
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",-95.992775,36.1539816
"18",-116.5016784,33.961124
"19",33.0826597,68.9585244
"20",-63.616672,-38.416097
"21",NA,NA
"22",-90.047474,29.952972
"23",41.0002049,56.3509682
"24",2.3522219,48.856614
"25",NA,NA
"26",NA,NA
"27",-81.0998342,32.0835407
"28",45.1745115,54.2000477
"29",3.9470396,7.3775355
"30",NA,NA
"31",61.4368432,55.1644419
"32",NA,NA
"33",NA,NA
"34",4.8416936,7.1000051
"35",NA,NA
"36",3.057256,50.62925
"37",-94.667696,39.129956
"38",-118.2436849,34.0522342
"39",37.8379593,51.2980824
"40",NA,NA
"41",NA,NA
"42",28.9783589,41.0082376
"43",NA,NA
"44",NA,NA
"45",NA,NA
"46",NA,NA
"47",105.318756,61.52401
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",NA,NA
"54",-105.7820674,39.5500507
"55",NA,NA
"56",105.318756,61.52401
"57",-90.1994042,38.6270025
"58",-119.4179324,36.778261
"59",NA,NA
"60",NA,NA
"61",3.057256,50.62925
"62",-110.9747108,32.2226066
"63",NA,NA
"64",NA,NA
"65",-74.4120953,40.5187154
"66",NA,NA
"67",NA,NA
"68",32.5825197,0.3475964
"69",NA,NA
"70",NA,NA
"71",NA,NA
"72",-96.7969879,32.7766642
"73",NA,NA
"74",6.0679194,43.9351691
"75",32.5825197,0.3475964
"76",-84.3880318,33.7614059
"77",NA,NA
"78",NA,NA
"79",-74.297333,4.570868
"80",-5.54708,7.539989
"81",-81.1637245,33.836081
"82",105.318756,61.52401
"83",2.213749,46.227638
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",105.318756,61.52401
"89",22.0895691,50.0574749
"90",27.953389,53.709807
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",-116.09971,44.8911158
"102",NA,NA
"103",NA,NA
"104",-81.5426297,28.2602339
"105",NA,NA
"106",2.060325,49.035617
"107",2.3522219,48.856614
"108",NA,NA
"109",NA,NA
"110",NA,NA
