"","lon","lat"
"111",105.8618776,-6.1740429
"112",-112.0740373,33.4483771
"113",NA,NA
"114",-97.2658157,37.5475549
"115",105.318756,61.52401
"116",-120.7401385,47.7510741
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",-95.3698028,29.7604267
"125",-117.1610838,32.715738
"126",-3.74922,40.463667
"127",74.3587473,31.5203696
"128",NA,NA
"129",-0.2057121,51.4865599
"130",NA,NA
"131",-84.386555,39.371477
"132",-73.4081575,41.117744
"133",NA,NA
"134",151.206173,-33.864859
"135",NA,NA
"136",8.541694,47.3768866
"137",NA,NA
"138",30.6545022,-0.6071596
"139",40.3078719,46.8490381
"140",105.318756,61.52401
"141",-99.133208,19.4326077
"142",NA,NA
"143",-81.5157535,27.6648274
"144",-74.0059728,40.7127753
"145",28.0473051,-26.2041028
"146",28.2292712,-25.7478676
"147",NA,NA
"148",-103.3496092,20.6596988
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",-78.6381787,35.7795897
"154",NA,NA
"155",NA,NA
"156",-83.1763145,42.3222599
"157",NA,NA
"158",-117.3754942,33.9806005
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",-75.977985,36.8529263
"164",NA,NA
"165",-72.599625,44.562592
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",-95.712891,37.09024
"170",-84.3879824,33.7489954
"171",7.6261347,51.9606649
"172",NA,NA
"173",NA,NA
"174",-86.80249,33.5206608
"175",78.96288,20.593684
"176",NA,NA
"177",-117.9495083,34.0200114
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",42.0124661,56.5800358
"182",-118.2436849,34.0522342
"183",NA,NA
"184",25.64031,-25.855978
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",-95.685153,39.047894
"190",18.4240553,-33.9248685
"191",-95.8927595,36.1379319
"192",20.9751821,77.8749725
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",-88.0978151,36.0589486
"197",-80.1917902,25.7616798
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",-86.1349019,40.2671941
"202",NA,NA
"203",151.206173,-33.864859
"204",NA,NA
"205",NA,NA
"206",-84.5200332,32.3236754
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",NA,NA
"211",113.921327,-0.789275
"212",NA,NA
"213",37.6172999,55.755826
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",-117.1610838,32.715738
"218",-95.3698028,29.7604267
"219",NA,NA
"220",NA,NA
"221",-119.4179324,36.778261
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"226",NA,NA
"227",102.7395955,57.9845406
"228",36.2850973,54.5518584
"229",8.675277,9.081999
"230",NA,NA
"231",NA,NA
"232",8.675277,9.081999
"233",NA,NA
"234",78.1427696,9.9359632
"235",NA,NA
"236",-106.4914272,31.7488923
"237",-80.1917902,25.7616798
"238",-83.0457538,42.331427
"239",NA,NA
"240",-82.9987942,39.9611755
"241",NA,NA
"242",3.3792057,6.5243793
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",8.675277,9.081999
"250",138.252924,36.204824
"251",-77.297508,18.109581
"252",NA,NA
"253",-77.297508,18.109581
"254",-77.297508,18.109581
"255",-77.297508,18.109581
"256",-77.297508,18.109581
"257",NA,NA
"258",-117.9298493,33.6188829
"259",NA,NA
"260",105.318756,61.52401
"261",-85.564463,44.8075006
"262",NA,NA
"263",-117.1610838,32.715738
"264",105.318756,61.52401
"265",NA,NA
"266",NA,NA
"267",NA,NA
"268",NA,NA
"269",NA,NA
"270",-91.9222598,44.9035894
"271",NA,NA
"272",NA,NA
"273",105.318756,61.52401
"274",42.0124661,56.5800358
"275",105.318756,61.52401
"276",NA,NA
"277",105.318756,61.52401
"278",-74.0059728,40.7127753
"279",NA,NA
"280",-79.3831843,43.653226
"281",NA,NA
"282",-58.3815591,-34.6036844
"283",NA,NA
"284",NA,NA
"285",-87.6297982,41.8781136
"286",NA,NA
"287",NA,NA
"288",101.686855,3.139003
"289",-76.6121893,39.2903848
"290",-95.3698028,29.7604267
"291",3.5104537,6.6194131
"292",NA,NA
"293",-75.015152,-9.189967
"294",37.6172999,55.755826
"295",4.4024643,51.2194475
"296",-74.0059728,40.7127753
"297",NA,NA
"298",NA,NA
"299",-95.712891,37.09024
"300",NA,NA
"301",NA,NA
"302",NA,NA
"303",NA,NA
"304",NA,NA
"305",NA,NA
"306",30.3350986,59.9342802
"307",NA,NA
"308",NA,NA
"309",NA,NA
"310",105.318756,61.52401
"311",-84.3879824,33.7489954
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315",139.6981712,35.6414629
"316",NA,NA
"317",NA,NA
"318",-95.7099399,37.2248982
"319",6.0830219,52.5167747
"320",105.318756,61.52401
"321",71.9243183,30.4911461
"322",-79.0192997,35.7595731
"323",NA,NA
"324",3.3792057,6.5243793
"325",170.399612,69.692947
"326",NA,NA
"327",15.2551187,54.5259614
"328",138.252924,36.204824
"329",-95.712891,37.09024
"330",-117.202813,33.020321
"331",-111.0937311,34.0489281
"332",NA,NA
"333",-84.3879824,33.7489954
"334",NA,NA
"335",45.079162,23.885942
"336",-81.1606401,36.1459649
"337",NA,NA
"338",-71.1869963,41.9667703
"339",122.0790267,6.9214424
"340",-95.712891,37.09024
"341",NA,NA
"342",2.4740337,48.7931426
"343",NA,NA
"344",74.3587473,31.5203696
"345",NA,NA
"346",NA,NA
"347",NA,NA
"348",-95.973124,36.746805
"349",NA,NA
"350",NA,NA
"351",-122.3320708,47.6062095
"352",NA,NA
"353",-120.624744,35.23116
"354",NA,NA
"355",NA,NA
"356",NA,NA
"357",114.109497,22.396428
"358",3.7662947,51.054305
"359",28.0473051,-26.2041028
"360",3.3792057,6.5243793
"361",4.3517211,50.8503463
"362",18.4240553,-33.9248685
"363",-118.2436849,34.0522342
"364",-1.1743197,52.3555177
"365",-84.109083,33.3459495
"366",NA,NA
"367",135.7680294,35.0116363
"368",-81.1637245,33.836081
"369",121.774017,12.879721
"370",NA,NA
"371",NA,NA
"372",-80.1917902,25.7616798
"373",120.9704234,14.7728024
"374",-105.5108312,39.9613759
"375",NA,NA
"376",NA,NA
"377",17.679076,43.915886
"378",NA,NA
"379",-77.5318475,38.2907105
"380",27.8540323,-26.2485377
"381",NA,NA
"382",3.3792057,6.5243793
"383",-84.3640829,33.7589188
"384",NA,NA
"385",28.0473051,-26.2041028
"386",151.206173,-33.864859
"387",NA,NA
"388",100.5998319,13.5990961
"389",28.0473051,-26.2041028
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",NA,NA
"394",NA,NA
"395",NA,NA
"396",114.109497,22.396428
"397",-122.2178496,47.0810411
"398",NA,NA
"399",11.4992475,49.2869826
"400",138.252924,36.204824
"401",100.992541,15.870032
"402",NA,NA
"403",NA,NA
"404",6.1431577,46.2043907
"405",NA,NA
"406",NA,NA
"407",NA,NA
"408",NA,NA
"409",NA,NA
"410",-151.2466043,60.5195387
"411",NA,NA
"412",127.9784585,37.6639976
"413",127.9784585,37.6639976
"414",NA,NA
"415",NA,NA
"416",35.862285,33.854721
"417",NA,NA
"418",72.8776559,19.0759837
"419",-111.2807779,40.6596373
"420",26.1595761,-29.085214
"421",NA,NA
"422",31.0218404,-29.8586804
"423",-80.3854233,25.7306712
"424",18.0604887,40.2696379
"425",-3.74922,40.463667
"426",NA,NA
"427",3.876716,43.610769
"428",NA,NA
"429",2.3522219,48.856614
"430",8.675277,9.081999
"431",-102.552784,23.634501
"432",7.179026,8.8556838
"433",NA,NA
"434",-78.8783585,35.0526641
"435",12.56738,41.87194
"436",133.775136,-25.274398
"437",NA,NA
"438",NA,NA
"439",19.145136,51.919438
"440",NA,NA
"441",NA,NA
"442",NA,NA
"443",4.5418141,8.4798786
"444",-0.1277583,51.5073509
"445",NA,NA
"446",-122.4194155,37.7749295
"447",NA,NA
"448",NA,NA
"449",-119.4179324,36.778261
"450",NA,NA
"451",NA,NA
"452",121.774017,12.879721
"453",NA,NA
"454",-74.0059728,40.7127753
"455",NA,NA
"456",28.9783589,41.0082376
"457",55.2707828,25.2048493
"458",-118.2436849,34.0522342
"459",-118.2436849,34.0522342
"460",-71.8966946,45.399212
"461",NA,NA
"462",-93.4704591,44.9380037
"463",136.2091547,-30.0002315
"464",22.937506,-30.559482
"465",-111.0937311,34.0489281
"466",-74.0059728,40.7127753
"467",105.8341598,21.0277644
"468",22.937506,-30.559482
"469",-119.4179324,36.778261
"470",28.9783589,41.0082376
"471",-43.1728965,-22.9068467
"472",-73.5686275,40.6518012
"473",NA,NA
"474",NA,NA
"475",2.213749,46.227638
"476",-0.016796,51.4767774
"477",3.3792057,6.5243793
"478",17.679076,43.915886
"479",8.675277,9.081999
"480",NA,NA
"481",22.937506,-30.559482
"482",3.3792057,6.5243793
"483",NA,NA
"484",NA,NA
"485",24.7499112,-28.7282384
"486",32.0382856,-28.7807276
"487",NA,NA
"488",-101.8551665,33.5778631
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",151.206173,-33.864859
"493",-75.1652215,39.9525839
"494",-117.9389526,34.0686208
"495",22.937506,-30.559482
"496",-96.7969879,32.7766642
"497",8.675277,9.081999
"498",28.0473051,-26.2041028
"499",-95.712891,37.09024
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",-97.3307658,32.7554883
"505",NA,NA
"506",130.4017155,33.5903547
"507",NA,NA
"508",120.960515,23.69781
"509",NA,NA
"510",NA,NA
"511",NA,NA
"512",NA,NA
"513",-86.482172,30.5168639
"514",-117.1610838,32.715738
"515",140.874074,38.253834
"516",26.7732162,-28.0045655
"517",NA,NA
"518",137.0257282,36.7540964
"519",NA,NA
"520",NA,NA
"521",NA,NA
"522",-81.5862038,28.2573945
"523",123.8857747,10.607936
"524",-80.2683571,26.6617635
"525",-73.5686275,40.6518012
"526",-82.0906448,26.9761707
"527",-106.6819793,46.2630502
"528",106.8650395,-6.17511
"529",-112.107031,33.482159
"530",3.3792057,6.5243793
"531",-102.552784,23.634501
"532",NA,NA
"533",-74.0059728,40.7127753
"534",-90.230759,15.783471
"535",-118.2436849,34.0522342
"536",-81.8313967,30.1718726
"537",NA,NA
"538",22.937506,-30.559482
"539",-95.9659931,36.1327456
"540",19.145136,51.919438
"541",-94.1767333,36.3375018
"542",-111.8309088,33.4364661
"543",-118.2436849,34.0522342
"544",-111.0937311,34.0489281
"545",NA,NA
"546",-98.4936282,29.4241219
