"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"26","ahamed_akr","RT @NayantharaAby: Amazing pics  #NayanVikky <U+2665><U+FE0F> Man she so happy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> at #Coachella2018
Knightscape pic #Nayanthara &amp; @VigneshShivN <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://…",17,0,2,2,80.771797,7.873054
"27","ahamed_akr","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,80.771797,7.873054
"28","ahamed_akr","RT @NayantharaLive: Awesome pics of Thalaivi &amp; Anbanna Director #Coachella2018 <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0083> https://t.co/gNrkiwDQck",21,0,1,1,80.771797,7.873054
"29","AjithMadhuthala","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,77.2514456,10.5845698
"30","akkimseit","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,NA,NA
"31","Alaan_25","RT @LOpium97: @rihanna it’s the #COCHELLA BUT i DON’T UNDERSTAND Bitchhh!<ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF><U+200D><U+2642><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B8><U+00B3>#Coachella2018 #FashionPhotography https://t.co/BRMVpfoORc",2,0,0,0,3.876716,43.610769
"32","alannocau1978","RT @allpublicart: We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The #AllPubli…",130,0,0,0,NA,NA
"33","alexanrizzo","RT @sogorgeousbb: oomf said Cardi B’s not letting her baby BREATHE on that stage #Coachella2018 https://t.co/mUpM3TIp3L",3,0,-1,1,-71.1631137,42.7070354
"34","aliceaustin2004","RT @DolanTwinsPhoto: Lock screens of The Dolan Twins if you want them : <U+2935><U+FE0F>

<U+25AB><U+FE0F>Follow me

<U+25AB><U+FE0F>RT <ed><U+00A0><U+00BD><ed><U+00B4><U+0084>

<U+25AB><U+FE0F>Like <U+2764><U+FE0F>

<U+25AB><U+FE0F>Tag the twins <ed><U+00A0><U+00BD><ed><U+00B6><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+00AC>

<ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BD><ed><U+00B0><U+00B0>

#Coache…",155,0,0,0,NA,NA
"35","allpublicart","We've shown you pictures from the #Coachella weekend estate but this video is on a totally different level! The… https://t.co/W4snklDWBn",130,47,0,0,-95.712891,37.09024
"36","ananth_kumar_s","RT @NayantharaAby: Amazing pics  #NayanVikky <U+2665><U+FE0F> Man she so happy <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> at #Coachella2018
Knightscape pic #Nayanthara &amp; @VigneshShivN <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://…",17,0,2,2,NA,NA
"37","AndersBrainsick","RT @BubbloApp: So we brought you pics from the Coachella house, but have you seen the video!?

Take a look at exactly how amazing the #Coac…",2,0,1,1,NA,NA
"38","AngelsVision_","RT @PolaroidSun: The new PLD 6047/S/X interpreted by @theOliviaJordan. #Thanks #PolaroidEyewear #Coachella #Coachella2018 #Festival #Califo…",2,0,0,0,-0.1844671,38.968032
"39","angelxxdolan","RT @DolanTwinsPhoto: Lock screens of The Dolan Twins if you want them : <U+2935><U+FE0F>

<U+25AB><U+FE0F>Follow me

<U+25AB><U+FE0F>RT <ed><U+00A0><U+00BD><ed><U+00B4><U+0084>

<U+25AB><U+FE0F>Like <U+2764><U+FE0F>

<U+25AB><U+FE0F>Tag the twins <ed><U+00A0><U+00BD><ed><U+00B6><U+008A><ed><U+00A0><U+00BD><ed><U+00B2><U+00AC>

<ed><U+00A0><U+00BC><ed><U+00BE><U+00A1><ed><U+00A0><U+00BD><ed><U+00B0><U+00B0>

#Coache…",155,0,0,0,NA,NA
"40","Angxlxna","RT @meanpIastic: THIS IS BY FAR THE BEST THING THAT HAPPENED IN 2018 AND I NEED ALL THE SELFIES #COACHELLA2018  https://t.co/AEjmhIxDoj",2503,0,1,1,NA,NA
"41","AnirudhVimal","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,78.1197754,9.9252007
"42","Another1Dead","RT @IWillRedPillU: Bill Clinton Caught with His Pants Unzipped as Women Approach
#MeToo #TimesUp #GreatAwakening #QAnon #ThesePeopleAreSick…",676,0,0,0,-83.0457538,42.331427
"43","AR_Genius","RT @NayantharaU: #Coachella2018 #StageCoach 
<ed><U+00A0><U+00BC><ed><U+00BC><U+009F> <ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> great moments ! #VikkyNayan https://t.co/f5ttGG92f7",618,0,1,1,80.2707184,13.0826802
