"","lon","lat"
"1",-95.712891,37.09024
"2",-95.4605133,29.8135274
"3",-78.9105538,36.0186758
"4",NA,NA
"5",18.4240553,-33.9248685
"6",-51.92528,-14.235004
"7",-63.616672,-38.416097
"8",NA,NA
"9",-6.2603097,53.3498053
"10",-76.8480282,40.275367
"11",2.3522219,48.856614
"12",NA,NA
"13",-81.1831513,34.0859829
"14",-79.0192997,35.7595731
"15",-118.2436849,34.0522342
"16",-117.1610838,32.715738
"17",3.057256,50.62925
"18",-94.667696,39.129956
"19",-96.6415971,32.8200643
"20",NA,NA
"21",-74.0059728,40.7127753
"22",-74.0059728,40.7127753
"23",NA,NA
"24",NA,NA
"25",-105.7820674,39.5500507
"26",-75.1652215,39.9525839
"27",-95.6376017,37.0335516
"28",NA,NA
"29",NA,NA
"30",3.057256,50.62925
"31",NA,NA
"32",-43.9502619,-19.9226268
"33",-83.5739515,34.1161386
"34",-74.4120953,40.5187154
"35",-119.4179324,36.778261
"36",32.5825197,0.3475964
"37",-76.6121893,39.2903848
"38",-118.3286614,34.0928092
"39",-122.4194155,37.7749295
"40",-96.7969879,32.7766642
"41",NA,NA
"42",6.0679194,43.9351691
"43",32.5825197,0.3475964
"44",-84.3880318,33.7614059
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",-5.54708,7.539989
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",-87.7583973,42.0634702
"53",2.213749,46.227638
"54",-8.4769763,40.8387294
"55",NA,NA
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",-116.09971,44.8911158
"62",NA,NA
"63",-81.5426297,28.2602339
"64",27.8540323,-26.2485377
"65",-111.7897548,34.8262369
"66",2.060325,49.035617
"67",2.3522219,48.856614
"68",105.8618776,-6.1740429
"69",-95.712891,37.09024
"70",NA,NA
"71",-121.7680088,37.6818745
"72",-73.7781391,40.6413111
"73",NA,NA
"74",NA,NA
"75",-78.6568942,37.4315734
"76",-85.6023643,44.3148443
"77",-0.1277583,51.5073509
"78",-76.5878328,39.2988333
"79",-95.3698028,29.7604267
"80",NA,NA
"81",-118.2436849,34.0522342
"82",-0.2057121,51.4865599
"83",-82.9987942,39.9611755
"84",NA,NA
"85",NA,NA
"86",28.0473051,-26.2041028
"87",-71.3565439,41.9695516
"88",-73.134961,40.789142
"89",NA,NA
"90",25.5858711,-33.798714
"91",-95.6164622,37.034924
"92",-117.9189742,33.8120918
"93",-81.1637245,33.836081
"94",28.0473051,-26.2041028
"95",28.2292712,-25.7478676
"96",26.1595761,-29.085214
"97",-95.712891,37.09024
"98",NA,NA
"99",-79.3831843,43.653226
"100",10.451526,51.165691
"101",NA,NA
"102",-95.712891,37.09024
"103",NA,NA
"104",NA,NA
"105",-84.3879824,33.7489954
"106",-86.80249,33.5206608
"107",72.8776559,19.0759837
"108",-89.6539942,43.2429865
"109",12.56738,41.87194
"110",25.64031,-25.855978
"111",NA,NA
"112",-95.685153,39.047894
"113",18.4240553,-33.9248685
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",-3.435973,55.378051
"120",NA,NA
"121",NA,NA
"122",-95.1995828,36.2958575
"123",22.937506,-30.559482
"124",-96.7969879,32.7766642
"125",-82.6882068,36.2159371
"126",NA,NA
"127",-78.898619,35.9940329
"128",NA,NA
"129",-83.9541534,34.0367898
"130",NA,NA
"131",NA,NA
"132",-121.3716178,38.4087993
"133",NA,NA
"134",NA,NA
"135",-82.3157094,39.8487918
"136",-1.61778,54.978252
"137",NA,NA
"138",-118.2436849,34.0522342
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",-78.6568942,37.4315734
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",-95.3698028,29.7604267
"150",-96.1103695,36.138286
"151",-118.2436849,34.0522342
"152",NA,NA
"153",-74.0059728,40.7127753
"154",NA,NA
"155",27.3851496,-26.4011578
"156",-97.242547,37.5494178
"157",NA,NA
"158",101.686855,3.139003
"159",-95.3698028,29.7604267
"160",-81.1637245,33.836081
"161",4.4024643,51.2194475
"162",NA,NA
"163",-95.3698028,29.7604267
"164",NA,NA
"165",-118.2099515,34.0186261
"166",-67.1404982,18.2040035
"167",NA,NA
"168",NA,NA
"169",0.121817,52.205337
"170",-118.4517449,33.9802893
"171",-73.9441579,40.6781784
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",-95.712891,37.09024
"177",NA,NA
"178",-95.3698028,29.7604267
"179",-95.7099399,37.2248982
"180",NA,NA
"181",-84.3879824,33.7489954
"182",NA,NA
"183",36.8219462,-1.2920659
"184",45.079162,23.885942
"185",NA,NA
"186",-76.2874927,36.7682088
"187",-87.6297982,41.8781136
"188",-82.9000751,32.1656221
"189",-76.2858726,36.8507689
"190",NA,NA
"191",-77.2242801,38.9240601
"192",-73.7948516,40.7282239
"193",-94.7353649,37.0248437
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",-95.973124,36.746805
"199",NA,NA
"200",-87.9269718,43.0034159
"201",NA,NA
"202",-122.3320708,47.6062095
"203",NA,NA
