"","screenName","text","retweetCount","favoriteCount","score","absolute_score","lon","lat"
"1","___xxtj","RT @MediaBritt: The #HBCU experience is unparalleled. It's not without headaches but the culture, education &amp; life outweigh the weaknesses.…",994,0,-1,1,NA,NA
"2","__angieange","RT @BleuuCarly: GET IN FORMATION <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#Beychella #beyonce #beyoncecoachelle #beyonceconcert #ontheruntour #beychellachallenge #beychella2018…",52,0,0,0,-74.4056612,40.0583238
"3","__jaajaa","RT @BleuuCarly: GET IN FORMATION <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#Beychella #beyonce #beyoncecoachelle #beyonceconcert #ontheruntour #beychellachallenge #beychella2018…",52,0,0,0,-73.7948516,40.7282239
"4","__nkem","OMG YOU GUYS! #Beychella <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/hHHCc4dVdv",0,1,0,0,NA,NA
"5","_aYOLexus","RT @BleuuCarly: GET IN FORMATION <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#Beychella #beyonce #beyoncecoachelle #beyonceconcert #ontheruntour #beychellachallenge #beychella2018…",52,0,0,0,-123.1186521,49.2837605
"6","_CyanBluee","RT @immaculate__Jay: Warming up my vocals to sing along to “love on top” #BEYCHELLA https://t.co/UVH7MfowuA",805,0,2,2,-72.9278835,41.308274
"7","_davidba_","Watching #Beychella for the 5th time and Beyoncé really didn’t have to fuck me up the way she did <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AB> how dare she",0,1,-1,1,-79.2902133,43.0581645
"8","_dehj","RT @BleuuCarly: GET IN FORMATION <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091>#Beychella #beyonce #beyoncecoachelle #beyonceconcert #ontheruntour #beychellachallenge #beychella2018…",52,0,0,0,127.410588,36.4212456
"9","_Fonce_","RT @oluwablk: Beyoncé Giselle of the House Knowles-Carter, First of Her Name, the Unmatched, Destroyer of Snatched Wigs, Lady of the Third…",21586,0,0,0,NA,NA
"10","_GiaNunes","RT @imbriyonce: If you thought I was about to sit here, learn choreo &amp; dance like I’m one of Beyoncé's backup dancer... YOU’RE ABSOLUTELY R…",97049,0,1,1,-47.0826076,-22.9404976
